id,finding_aid_link,title,type,number,group,digital_collection,category,subject,description
spec00835,https://search.lib.uidaho.edu/UID:CP71113721750001451,"Sandra Martinson. The university, the library, and Miss Sweet : history of the University of Idaho Library, 1892-1948 / typescript, Nov. 26, 1963",MG,5360,MG 5360,,university,manuscripts,
spec00836,https://search.lib.uidaho.edu/UID:CP71101475100001451,"Gladys Bowman Knight. Letters to the editor / typescript, 1970",MG,5361,MG 5361,,,letters,
spec00837,https://search.lib.uidaho.edu/UID:CP71113722220001451,"P. E. Oscarson. Preliminary report on the Wolverine group of mining claims of the Yreka Mining Company, Yreka Mining District, Shoshone County, Idaho / typescript, Dec. 1949.",MG,5362,MG 5362,,mining,shoshone county,
spec00838,https://search.lib.uidaho.edu/UID:CP71105120630001451,"Dwight J. Ingle (Dwight Joyce). Is it really so? A guide to clear thinking : typescripts, [196-]",MG,5363,MG 5363,,,manuscripts,
spec00839,https://search.lib.uidaho.edu/UID:CP71105116620001451,"Priscilla Wegars. Inmates of body house : prostitution in Moscow, Idaho, 1885 to 1910 / typescript, 1986",MG,5364,MG 5364,,,moscow;prostitution,
spec00840,https://search.lib.uidaho.edu/UID:CP71162296120001451,"George G. Pickett scrapbook, 1884-1925",MG,5365,MG 5365,,,government and politics;idaho;scrapbooks,
spec00841,https://search.lib.uidaho.edu/UID:CP71105127130001451,"Eugene Giles Lillian Olive Thompson; William Ray Giles; and Beverly Dixon. Some descendants of William Branch Giles, Governor of Virginia, partial Tennessee branch / typescript, 1978",MG,5366,MG 5366,,,genealogy,
spec00842,https://search.lib.uidaho.edu/UID:CP71162296140001451,"Grand Army of the Republic. Department of Idaho. Major Anderson Post, no. 5 (Moscow) Daughters of Union Veterans of the Civil War, 1861-1865. Membership roll, July 19, 1884-July 18, 1927",MG,5367,MG 5367,,,moscow;clubs and organizations,
spec00843,https://search.lib.uidaho.edu/UID:CP7194444430001451,"Typescript, [192-]",MG,5368,MG 5368,,,indigenous;manuscripts;war,
spec00844,https://search.lib.uidaho.edu/UID:CP71162297570001451,"James Reubens Rose Price. Record book, 1881-1893",MG,5369,MG 5369,,,indigenous;manuscripts;war,
spec00845,https://search.lib.uidaho.edu/UID:CP71166221660001451,"Pat Allen Pentland. The illfated mission: the Sacred Heart Mission on the St. Joe River, 1842-46: typescript, May 1973",MG,5370,MG 5370,,,indigenous;religion;photographs,
spec00846,https://search.lib.uidaho.edu/UID:CP71162297730001451,"James A. Knowles. Notebooks, 1978-1983",MG,5371,MG 5371,,,moscow;students;education,
spec00847,https://search.lib.uidaho.edu/UID:CP71139865500001451,"Big Bill Haywood (defendant), Charles H Moyer (defendant), and George A. Pettibone (defendant). In the District Court, Seventh Judicial District, State of Idaho, County of Canyon, the State of Idaho, plaintiff, vs. William D. Haywood, Charles H. Moyer, George A. Pettibone, and John L. Simpkins, defendants : Motion for change of venue (typescript), filed May 29, 1906",MG,5372,MG 5372,,,legal documents;governors,
spec00848,https://search.lib.uidaho.edu/UID:CP7194459380001451,"Sue L. McBeth, Clifford Merrill Drury, and Mary Mazeppa Crawford. Dictionary, [between 1875 and 1893]",MG,5373,MG 5373,,,indigenous,
spec00849,https://search.lib.uidaho.edu/UID:CP71163818890001451,"Willis Sweet and Edward Robert Chrisman.  The University of Idaho--a statement of the facts in connection with the establishment and location of the institution : typescripts, 1921.",MG,5374,MG 5374,,university,,
spec00850,https://search.lib.uidaho.edu/UID:CP71139840070001451,"James Harvey Forney (interviewee) and Edward Robert Chrisman (interviewer). General Chrisman's interview with Judge Forney : typescript, [1935]",MG,5375,MG 5375,,university,interviews;judges,
spec00851,https://search.lib.uidaho.edu/UID:CP71163818630001451,"Philip O'Rourke and Richard G Magnuson.   Notice of location, Sept. 10, 1885",MG,5376,MG 5376,,mining,legal documents;shoshone county,
spec00852,https://search.lib.uidaho.edu/UID:CP71164526430001451,"University of Idaho. Petition to the faculty, [ca. 1914]",MG,5377,MG 5377,,university,students,
spec00853,https://search.lib.uidaho.edu/UID:CP71163819470001451,"Andrew M. Anderson patents, 1901-1914",MG,5378,MG 5378,,,agriculture;business,
spec00854,https://search.lib.uidaho.edu/UID:CP71158344550001451,"Wake Brothers (Firm) Christian Wake; Louis Wake; Cendey and Geyer Engineering Company. Agreement, June 15, 1886",MG,5379,MG 5379,,mining,business,
spec00855,https://search.lib.uidaho.edu/UID:CP71177631280001451,"Pressey family papers, 1794-1943",MG,5380,MG 5380,,,genealogy;legal documents;photographs,
spec00856,https://search.lib.uidaho.edu/UID:CP71177630780001451,"Jerome Day Legislative papers, 1909-1910",MG,5381,MG 5381,,,government and politics;legislators;forest fires;environmental,
spec00857,https://search.lib.uidaho.edu/UID:CP71177634640001451,"Henry L Day (Henry Lawrence). Gold Hunter Mining Company records, 1885-1895",MG,5382,MG 5382,,mining,idaho;business;correspondence,
spec00858,https://search.lib.uidaho.edu/UID:CP71177632560001451,"Shoshone Country Club (Wallace, Idaho) By laws, 1935-1947",MG,5383,MG 5383,,,shoshone county;clubs and organizations,
spec00859,https://search.lib.uidaho.edu/UID:CP71158341700001451,"E. D. Pierce (Elias Davidson), 1824-1897. Ralph Burcham; Lou A Larrick; Leslie L. Johnson -1974.; Hattie Jones Van Horn; Charles Worthington Jones. Manuscript, [189-]",MG,5384,MG 5384,,mining,correspondence;manuscripts;genealogy;pacific northwest,
spec00860,https://search.lib.uidaho.edu/UID:CP71148985060001451,"F. W. Kelly. List of members, Local 500, I.W.W. : typescript, June 17-July 3, 1920",MG,5385,MG 5385,,,labor unions,
spec00861,https://search.lib.uidaho.edu/UID:CP71179305540001451,"Henry W. Stainton. Ledger, 1866-1873 (Account book of a Lewiston, Idaho, physician)",MG,5386,MG 5386,,,business,
spec00862,https://search.lib.uidaho.edu/UID:CP71148984240001451,"John Rogers McBride. Typescript, [189?] (chief justice of Idaho Territory)",MG,5387,MG 5387,,,idaho;judges,
spec00863,https://search.lib.uidaho.edu/UID:CP71148983430001451,"Donald Richard Theophilus Jr. Boxing at the University of Idaho / typescript, [not before 1951]",MG,5388,MG 5388,https://www.lib.uidaho.edu/digital/boxing,university,presidents;photographs,
spec00864,https://search.lib.uidaho.edu/UID:CP71141881680001451,"In the Circuit court of the United States for the District of Idaho, Northern Division. Charles Nicolson and Mary E. Nicolson, plaintiffs vs. Northern Pacific Railway Company, defendant. No. 178. Bill of exceptions. : Typescript, Jan. 8, 1901",MG,5389,MG 5389,,,legal documents;railroads,
spec00865,https://search.lib.uidaho.edu/UID:CP71141907320001451,"Harry Orchard 1866-1954. Harry Webb Marsh 1886-1964.; Jesse Everett Buchanan 1948. The autobiography of Harry Orchard written at the Idaho State Penitentiary, Boise : typescript, 1948",MG,5390,MG 5390,,,,
spec00866,https://search.lib.uidaho.edu/UID:CP71141890540001451,"Latah County Bicentennial Commission. Guest book, bicentennial Christmas open house / autograph and scrap book, Dec. 20, 1975",MG,5391,MG 5391,,,,
spec00867,https://search.lib.uidaho.edu/UID:CP71179302960001451,"Elmer Perry Palmer diary, 1873-1884",MG,5392,MG 5392,,,diaries;settlers;pacific northwest;latah county,
spec00868,https://search.lib.uidaho.edu/UID:CP71162700160001451,"Notes taken by Richard Magnuson, Book A, commissioners record of Shoshone County, Washington Territory, for that period while Shoshone County government operated as a subdivision of Washington Territory until their being taken into Idaho Territory : typescript, [1961?]",MG,5393,MG 5393,,,government and politics;shoshone county,
spec00869,https://search.lib.uidaho.edu/UID:CP71137537300001451,"Committee for the Nation. James H Rand (James Henry). Memorandum A : Report on Silver / typescript, [1933]",MG,5394,MG 5394,,,government and politics,
spec00870,https://search.lib.uidaho.edu/UID:CP71137523810001451,B. C. D'Easum. The story of Fort Lemhi / typescript [19--?],MG,5395,MG 5395,,,settlers;forts;idaho,
spec00871,https://search.lib.uidaho.edu/UID:CP71137549920001451,"Irving Anderson. Preliminary engineering survey and cost estimate of flood control and flood damage rehabilitation, etc., within the city limits of Wallace, Idaho / typescript, 1934",MG,5396,MG 5396,,,idaho;environmental;water,
spec00872,https://search.lib.uidaho.edu/UID:CP71139878990001451,"University of Idaho Associated Students Executive Committee minute book, Mar. 9, 1904-June 10, 1910",MG,5398,MG 5398,,university,students;clubs and organizations;minutes,
spec00873,https://search.lib.uidaho.edu/UID:CP71179304180001451,"University of Idaho. Department of Athletics. Pacific Coast Intercollegiate Athletic Conference, 1957-1959",MG,5399,MG 5399,,university,athletics;correspondence,
