colltitle,path,shorttitle,cdmtitle,items,webitems,non-cdm webitems,searchable in cdm,cdmid,status,featured,cb-data,digital_scholarship,need_cb,repository_branch,metadata_path,migrated & deployed?,branch_notes,repo_location,last_cb_update,about_page,website,categories,type,alpha,shortdesc,description,mediatype,location,lat,long,datestart,dateend,image,imagelink,imagetitle
Chatcolab NW Leadership Lab Collection,chatcolab,Chatcolab Collection ,Chatcolab NW Leadership Lab,65,65,,65,chatcolab,visible,,,,,documents-digital-collections-template/chatcolab,https://www.lib.uidaho.edu/digital/chatcolab/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/chatcolab,2023-12,yes,https://www.lib.uidaho.edu/digital/chatcolab/,Idaho; Northwest; UIResearch;,AltCollection,Chatcolab,A collection of packets from the Chatcolab Northwest Leadership Laboratory. Chatcolab offers a unique opportunity to build leadership by engaging in the creative planning and then sharing of a recreational experience.,The Chatcolab Northwest Leadership Laboratory has been running each summer since 1949. Chatcolab offers a unique opportunity to build leadership by engaging in the creative planning and then sharing of a recreational experience. This collection of packets was donated by Bob Carver to the University of Idaho Library and digitized by the digital initiatives unit in 2017.,documents,"Rathdrum, ID",47.877418,-116.856805,1949,1995,chatcolab,https://www.lib.uidaho.edu/digital/chatcolab/items/chatcolab12.html,Chatcolab Packet 1968
College of Natural Resources Collection,cnr,College of Natural Resources,,50,50,50,,,visible,,,,,base-digital-collections-template/cnr,https://www.lib.uidaho.edu/digital/cnr/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/cnr,2023-12,yes,https://www.lib.uidaho.edu/digital/cnr,Idaho;UI;UIResearch;Campus,Collection,CNR,A collection of multimedia materials from the University of Idaho's College of Natural Resources (CNR),"The College of Natural Resources (CNR) has a long-standing history, beginning in 1909 and continuing to this present day. During the expanse of 100+ years, CNR has reshaped its mission and services, thanks to the leadership and vision of its Deans. This digital collection includes a majority of materials pertaining to the album University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984. There are a wide breadth of featured material types: documents, correspondence, brochures, pictures, journals, and video and audio files.",documents; images; videos,"University of Idaho; Moscow, ID;",46.73013211,-117.01258,1907,2009,cnr,https://objects.lib.uidaho.edu/sanborn/sanborn-ketchum-1890-001.jpg,Forest Products Lab Work 
Columbia River Basin Project: Dam Construction in the Pacific Northwest,crbp,Coulee Dam Collection,Columbia River Basin Project: Dam Construction in the Pacific Northwest,456,456,,456,crbproj,visible,,,,,base-digital-collections-template/crbp,https://www.lib.uidaho.edu/digital/crbp/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/crbp,2023-12,yes,https://www.lib.uidaho.edu/digital/crbp/,Dams; Construction; Water; Northwest;,Collection,Columbia,"Historical photographs of Grand Coulee Dam and Columbia River Basin Project construction, 1933-1965","Digitized photographs pertaining to the Columbia Basin Project. Special emphasis is placed on the construction of Grand Coulee Dam, the canal systems of Central Washington, and numerous other dams in the Inland Northwest.",images,"Grand Coulee, WA; Canal systems of Central Washington",47.959223,-118.974938,1933,1965,crbp,https://objects.lib.uidaho.edu/crbp/crbp1040.jpg,Man stands on siphon
Craig Mountain Lumber Company,craigmountain,Craig Mountain,,104,104,104,,,visible,,,,,base-digital-collections-template/craigmountain,https://www.lib.uidaho.edu/digital/craigmountain/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/craigmountain,2023-12,yes,https://www.lib.uidaho.edu/digital/craigmountain/,Idaho; Construction; Correspondence; Lumber; Sawmill,Collection,Craig Mountain,Blueprints and correspondence from the Craig Mountain Lumber Company and Sawmill.,Blueprints and correspondence from the Craig Mountain Lumber Company and Sawmill.,images; documents,"Winchester, ID",46.27108553300317,-116.62763261160573,1904,1980,craigmountain,https://www.lib.uidaho.edu/digital/craigmountain/items/craigmountain034.html,"Blueprint for Class S, No. 25. single wood furnace"
CTRL+SHIFT,,CTRL-SHIFT,,,,,,,visible,,no,ds,,,,n/a,,https://github.com/ctrlshifty/ctrlshifty.github.io,,,https://ctrl-shift.org/,Poetry; UIResearch; Oral History;,CDIL,CTRL-SHIFT,11 Contemporary Poets on writing through the advent of the personal computer and into the arrival of the digital age.,"CTRL+SHIFT is an online collection of audio recordings, transcripts, process visualizations, and data analyses broken out from interviews conducted with 11 prominent contemporary American poets from across the United States. The project examines recent changes in writing practices that occurred due to the advent of the computer and the arrival of the digital age and investigates new modes of working with and publishing data from qualitative interview studies.",documents; images; video,"Los Angeles, CA; Cambridge, MA; Irvine, CA; New York, NY; Moscow, ID; Liberty Lake, WA; Ashland, OR; Long Beach, CA; Cambridge, MA; Bellingham, WA; San Diego, CA;",,,2013,2018,ctrl-shift,,
Digital Scholarship Collection,digschol,Digital Scholarship,Digital Scholarship Collection,4,4,,,digschol,noshow,,no,ds,,,,n/a,"these records have been added to IR collection. There will be no collection, this record can go away eventually",,,,https://digital.lib.uidaho.edu/digital/collection/digschol/,UIResearch;,CDIL,Digital,Website records of past digital scholarship at the University of Idaho,Website records of past digital scholarship at the University of Idaho,urls,"University of Idaho; Moscow, ID;",46.728014,-117.011009,2000,2015,,na,
Dizzy Gillespie Collection,gillespie_dizzy,Dizzy Gillespie Collection,Dizzy Gillespie Collection,18,18,,,ijcdg,visible,,no,ijc,,ijc-collection-template/gillespie_dizzy,https://www.ijc.uidaho.edu/gillespie_dizzy/assets,yes,,https://github.com/uidaholib/ijc-collection-template/tree/gillespie_dizzy,2023-12,yes,https://www.ijc.uidaho.edu/gillespie_dizzy/,IJC; Jazz;,IJCCollection,IJC-Gillespie,Images and memorabilia from the Dizzy Gillespie Collection.,This collection was assembled by Special Collections and Archives of the University of Idaho Library with materials donated by Mrs. Gillespie. The collection contains fifteen items that belonged to the artist.,memorabilia,"University of Idaho (Library); Moscow, ID;",46.72732,-117.01412,1987,2000,gillespie_dizzy,https://objects.lib.uidaho.edu/ijc/gillespie_dizzy/ijc_dizzy_007.jpg,Plaster Mask
Doc Cheatham Collection,cheatham,Doc Cheatham Collection,"Music, memories, and photographs of jazz trumpeter Doc Cheatham",63,63,63,,,visible,,,,,base-digital-collections-template/cheatham,https://www.lib.uidaho.edu/digital/cheatham/assets,yes,ijc,https://github.com/uidaholib/base-digital-collections-template/tree/cheatham,2023-12,yes,https://www.lib.uidaho.edu/digital/cheatham/,IJC; Jazz;,IJCCollection,Doc Cheatham,"Music, memories, and photographs of jazz trumpeter Doc Cheatham","Music, memories, and photographs of jazz trumpeter Doc Cheatham",images; documents,,,,1892,1997,cheatham,https://www.lib.uidaho.edu/digital/cheatham/items/cheatham049.html,Black and white photo of Doc Cheatham playing trumpet in front of a microphone
Donald R. Theophilus Boxing Photograph Collection,boxing,Boxing Collection,Donald R. Theophilus Boxing Photograph Collection,53,53,,53,boxing,visible,,,,,campus-collections-template/boxing,https://www.lib.uidaho.edu/digital/boxing/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/boxing,2023-12,yes,https://www.lib.uidaho.edu/digital/boxing/,UI; Idaho; Sports; Campus;,Collection,Boxing,"Photographs of University of Idaho Boxers and Boxing Teams, 1934 - 1953",A digital collection comprised of 52 photographs of boxers and boxing teams from the University of Idaho,images,"University of Idaho; Sacramento, CA;",46.727485,-117.014185,1934,1953,boxing,https://www.lib.uidaho.edu/digital/boxing/items/boxing5.html,1947-1948 University of Idaho boxing squad
Dworshak Dam Collection,dworshak,Dworshak Dam,Dworshak Dam Collection,501,501,,501,dworshak,visible,,,,,documents-digital-collections-template/dworshak,https://www.lib.uidaho.edu/digital/dworshak/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/dworshak,2023-12,yes,https://www.lib.uidaho.edu/digital/dworshak/,Dams; Construction; Water; Northwest; Idaho; Maps;,Collection,Dworshak,"Documenting the Development and Construction of the Doworshak Dam, 1952 - 1975","Digitized photographs and documents pertaining to the planning, development and construction of the Dworshak Dam, featuring documents and photographs detailing both the legislative and physical development of the dam.",documents; images,"Dworshak Dam, ID",46.515697,-116.296881,1952,1973,dworshak,https://objects.lib.uidaho.edu/dworshak/dworshak519.jpg,Aerial view of clearwater river before construction of Dworshak Dam
