colltitle,path,shorttitle,cdmtitle,items,webitems,non-cdm webitems,searchable in cdm,cdmid,status,featured,cb-data,digital_scholarship,need_cb,repository_branch,metadata_path,migrated & deployed?,branch_notes,repo_location,last_cb_update,about_page,website,categories,type,alpha,shortdesc,description,mediatype,location,lat,long,datestart,dateend,image,imagelink,imagetitle
Idaho Waters Digital Library,iwdl,Idaho Waters,Idaho Waters Digital Library,476,711,,711,idahowater,visible,,,,,documents-digital-collections-template/iwdl,https://www.lib.uidaho.edu/digital/iwdl/assets,yes,cb not standard,https://github.com/uidaholib/documents-digital-collections-template/tree/iwdl,2020-10,yes,https://www.lib.uidaho.edu/digital/iwdl/,Idaho; Water; Wilderness; Mining; UIResearch;,Collection,Idaho Waters,"Scientific and technical reports, with an emphasis on Idaho Water Resources Research Institute reports and publications","The Idaho Waters Digital Library provides access to information resources relating to water issues in key Idaho river basins. The collection presently includes scientific and technical reports, with an emphasis on [Idaho Water Resources Research Institute](https://www.uidaho.edu/research/iwrri) reports and publications. Documents can be browsed by [Location](map.html 'Browse by Map'), [Date](timeline.html 'Browse by Time'), and [Subject Term](subjects.html 'Browse by Subject') by using the tabs above. The database can also be queried extensively using the [Table](table.html 'Browse/Search by Table') feature. This project would not have been possible without the grant support of the [United States Geological Survey](https://www.uidaho.edu/research/iwrri/aboutiwrri), the administrative support of the [Idaho Water Resources Research Institute](https://www.uidaho.edu/research/iwrri/aboutiwrri), the metadata &amp; digitization work of Warren Bromley-Vogel, and the conceptual efforts of Jodi Haire.",documents,"Idaho; Coeur D'Alene, ID; Lewiston, ID; Boise, ID;",43.608655,-116.193734,1963,1984,iwdl,https://objects.lib.uidaho.edu/iwdl/ian-keefe-354195-unsplash.jpg,Research in water resources for Idaho
Idaho's Women of Influence,iwi,Idaho's Women,,30,30,30,,,visible,,,,,base-digital-collections-template/iwi,https://www.lib.uidaho.edu/digital/iwi/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/iwi,2023-12,yes,https://www.lib.uidaho.edu/digital/iwi/,Idaho; Women,Collection,Idaho's Women,A database of important women in the history of the state of Idaho,A database of important women in the history of the state of Idaho,documents; images,Idaho,,,,,iwi,https://www.lib.uidaho.edu/digital/objects/iwi/c04.jpg,Black and white historical photo of women
INSIDE Idaho,,Inside Idaho,,,,,,,visible,,no,other,,,,n/a,,https://github.com/uidaholib/inside_source,,,https://www.insideidaho.org/,UI; UIResearch; Maps; Environmental;,AltCollection,INSIDE Idaho,"Interactive database that provides access to geospatial data and information by, for, and about Idaho.","INSIDE Idaho is the official geospatial data clearinghouse for the State of Idaho. INSIDE Idaho serves as a comprehensive geospatial data digital library, providing access to, and a context within which to use, geospatial data and information by, for, and about Idaho.",images; data,Idaho,,,1998,,insideidaho,,
University of Idaho Institutional Repository Collection,ir,UI Repository,Institutional Repository,143,143,,,IR,visible,,,,,documents-digital-collections-template/ir,https://www.lib.uidaho.edu/digital/ir/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/ir,2023-12,,https://www.lib.uidaho.edu/digital/ir/,UIResearch;,AltCollection,Institutional,Collection of Research Across Various Departments at the University of Idaho.,Research articles and other documents produced by individuals and entities from the University of Idaho.,documents; records,"University of Idaho; Moscow, ID;",46.727309,-117.012272,1955,2021,ir,na,na
Intermountain Forestry Cooperative,iftnc,Forestry Coop,Intermountain Forestry Cooperative,39,39,,39,iftnc,visible,,,,,documents-digital-collections-template/iftnc,https://www.lib.uidaho.edu/digital/iftnc/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/iftnc,2023-12,yes,https://www.lib.uidaho.edu/digital/iftnc/,Forests; Northwest; UIResearch;,AltCollection,Intermountain,"A collection of reports, studies, and documents published by the Intermountain Forestry Cooperative","A collection of reports, studies, and documents published by the Intermountain Forest Tree Nutrition Cooperative (IFTNC), a research cooperative composed of public and private forestry organizations that is located administratively in the College of Natural Resources at the University of Idaho.",documents,Inland Northwest,46.729312,-117.012924,1984,1991,iftnc,https://upload.wikimedia.org/wikipedia/commons/e/ed/Ponderosas%2C_Sisters%2C_OR_8-13a_%2814668429091%29.jpg,Trees in the mountains
International Jazz Collections (IJC),ijc,Jazz Collections,,0,0,,,ijc,visible,,no,,,ijc-collection-template/ijc_home,,yes,,https://github.com/uidaholib/ijc-collection-template/tree/ijc_home,2023-12,yes,https://www.ijc.uidaho.edu/,IJC; Jazz; UI;,IJCCollections,IJC,A Collection of Jazz Collections,"The International Jazz Collections (IJC) was formally established at the University of Idaho in 2000, featuring papers and photographs of the legendary Lionel Hampton. The IJC merged with the University of Idaho Library's Special Collections & Archives department in 2007. It is now the preeminent jazz archive in the Pacific Northwest.",collections,"University of Idaho (Library); Moscow, ID;",46.72732,-117.01588,1900,2002,ijc,https://www.ijc.uidaho.edu/,Collage International Jazz Collection Image
Joe Williams Collection,williams_joe,Joe Williams,Joe Williams Collection,147,147,,,ijcw,visible,,,,,ijc-collection-template/williams_joe,https://www.ijc.uidaho.edu/williams_joe/assets,yes,,https://github.com/uidaholib/ijc-collection-template/tree/williams_joe,2023-12,yes,https://www.ijc.uidaho.edu/williams_joe/,IJC; Jazz;,IJCCollection,IJC-Williams,Scores from the Joe Williams Collection.,"Joe Williams was a vocalist who began singing professionally in the late 1930's. He worked with the big bands of Coleman Hawkins, Lionel Hampton and Count Basie; it was with Basie that Williams had his first recording hits. Williams won many awards and professional recognition. In the 1980's he had a recurring role (as 'Grandpa Al') on TV's The Cosby Show. He died in Las Vegas on March 29, 1999.",scores,"University of Idaho (Library); Moscow, ID;",46.72732,-117.01488,1930,1970,williams_joe,https://objects.lib.uidaho.edu/ijc/joe_williams/ijc_jw_002.jpg,Score for They Can&apos;t Take That Away from Me
Kooskia Internment Camp Scrapbook,kooskia,Kooskia Internment Camp,Kooskia Internment Camp Scrapbook,387,193,,193,spec_kic,visible,y,,,,base-digital-collections-template/kooskia,https://www.lib.uidaho.edu/digital/kooskia/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/kooskia,2022-04,yes,https://www.lib.uidaho.edu/digital/Kooskia/,Idaho; War;,Collection,Kooskia,"Documenting the daily life of Japanese Americans interned by the US Government near Kooskia, ID durning World War II","The Kooskia Internment Camp Scrapbook documents the sights, tasks, scenes, and events of Japanese men detained during the camp&apos;s two years or operation (May 1943 - May 1945). The camp was located in a remote area of north central Idaho, 30 miles from the town of Kooskia; it was administered by the U.S. Immigration and Naturalization Service (INS) for the U.S. Department of Justice.",scrapbook; images,"Kooskia, ID",46.144012,-115.594819,1943,1945,kooskia,https://objects.lib.uidaho.edu/kooskia/kooskia791.jpg,Kooskia Internment Camp Scrapbook Entrance Sign
Kyle Laughlin Photographs,laughlin,Laughlin Photos,Kyle Laughlin Photographs,828,828,,828,spec_kl,visible,,,,,base-digital-collections-template/laughlin,https://www.lib.uidaho.edu/digital/laughlin/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/laughlin,2023-12,yes,https://www.lib.uidaho.edu/digital/Laughlin/,Idaho; Water; Agriculture; UI; Latah;,Collection,Laughlin,"Historical Photographs of Idaho and the United States, 1931 - 1979","The images of the Kyle Laughlin Photograph Collection, taken from 1931 to 1979, depict Idaho&apos;s natural scenery and historic sites, as well as personal moments from Kyle Laughlin&apos;s life. Laughlin was a Moscow, Idaho resident and businessman for 56 years; he owned several businesses, including a photo shop, an appliance store, and a television/cable company.",images,"Idaho; Washington; Montgomery, AL; Acoma Village, NM; Topeka, KS; St. Louis, MO; Denver, CO; Cheyenne, WY; Little Bighorn Battlefield, MT; Vaseux Lake, B.C.",46.706833,-116.92294,1935,1937,laughlin,https://www.lib.uidaho.edu/digital/laughlin/items/spec_kl955.html,"Fishing Contest, 1937"
Latah County Community Heritage Collection,lcheritage,Latah County Community Heritage Collection,Latah County Historical Society Photograph Collection,733,733,,733,lcheritage,visible,,,,,base-digital-collections-template/lcheritage,https://www.lib.uidaho.edu/digital/lcheritage/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/lcheritage,2024-02,yes,https://www.lib.uidaho.edu/digital/lcheritage/,"Idaho; Northwest; Forests; Wilderness; Fire; Latah; Moscow, ID; Potlatch, ID",Collection,Latah County Community,Materials from the NEH Funded Common Heritage Community Digitization Project in Latah County,The Latah County Common Heritage Collection was driven by funding from a National Endowment for the Humanities (NEH) Common Heritage Grant awarded to the University of Idaho Library in 2016. The materials in this collection were collected via community digitization days held in Moscow and Potlatch in 2016 and 2017.,documents; image,"University of Idaho (Library); Moscow, ID;",46.738036,-116.67842,1880,2016,lcheritage,https://www.lib.uidaho.edu/digital/lcheritage/items/lcheritage7.html,Kelvin Daniels in front of fire
Latah County Oral Histories,lcoh,Latah County Oral Histories,Latah County Oral Histories Collection,330,636,,,latah,visible,y,,cdm,,oral-history-collections-template/lcoh,https://www.lib.uidaho.edu/digital/lcoh/assets,yes,highly customized,https://github.com/uidaholib/oral-history-collections-template/tree/lcoh,2023-12,yes,https://www.lib.uidaho.edu/digital/lcoh/,"Idaho; Northwest; Forests; Wilderness; Fire; Latah; Moscow, ID; Potlatch, ID; Oral History",AltCollection,Latah County,Remembering Latah County and Idaho Life at the turn of the 20th century,"In the mid 1970s, the Latah County Historical Society collected over 300 oral histories from local Northern Idaho residents who grew up in Idaho during the early part of the 20th century. The Latah County Oral History Project produced one of the largest collections of oral histories in the Pacific Northwest. A copy of the transcripts and cassette recordings was donated to the University of Idaho Library in 1987. Those items were digitized and uploaded into our database in 2013.",documents; audio,"University of Idaho (Library); Moscow, ID;",46.736036,-116.67642,1970,1979,lcoh,https://www.lib.uidaho.edu/digital/lcoh/people/BRINK_Carol.html,Carol Ryrie Brink
Lee Morse Collection,morse_lee,Morse Collection,Lee Morse Collection,105,105,,,ijclm,visible,,,ijc,,ijc-collection-template/morse_lee,https://www.ijc.uidaho.edu/morse_lee/assets,yes,,https://github.com/uidaholib/ijc-collection-template/tree/morse_lee,2023-12,yes,https://www.ijc.uidaho.edu/morse_lee/,IJC; Jazz;,IJCCollection,IJC-Morse,Images and recordings from the Lee Morse Collection.,Lee Morse was an American singer and songwriter. The collection includes mainly photographs and sound recordings.,images;,"University of Idaho (Library); Moscow, ID;",46.72732,-117.01388,1924,1941,morse_lee,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_008.jpg,Lee Morse playing guitar
Leo Ames Papers,ames,Leo Ames Papers,,38,38,38,,,visible,,,,,base-digital-collections-template/ames,https://www.lib.uidaho.edu/digital/ames/assets,yes,csv,https://github.com/uidaholib/base-digital-collections-template/tree/ames,2023-12,yes,https://www.lib.uidaho.edu/digital/ames/,UI; Art,Collection,Leo Ames,"Leo Ames's poster designs, working drafts, correspondence, and office files.",,"A collection of materials including poster designs, working drafts, correspondence, and office files from Leo Ames's time as the University of Idaho's creative director and head of publications.","University of Idaho (Library); Moscow, ID;",46.72732,-117.01388,1968,1989,ames,,
Leonard Feather Blindfold Tests,blindfold,Leonard Feather Blindfold Tests,,23,23,23,,,visible,,,,,,https://www.lib.uidaho.edu/digital/blindfold/,,ijc,https://github.com/uidaholib/blindfold_draft,2020-09,yes,https://www.lib.uidaho.edu/digital/blindfold/,IJC; Jazz,IJCCollection,Blindfold,"Historic interviews with jazz musicians, recorded by jazz critic Leonard Feather",The Blindfold Tests are a series of interviews conducted by jazz critic Leonard Feather with prominent jazz musicians throughout the 20th century.,audio,,,,1951,1987,blindfold,https://digital.lib.uidaho.edu/digital/collection/lfc/id/173/rec/1,"Nat Adderley and Julian ""Cannonball"" Adderley"
Leonard Feather Jazz Collection,feather_leonard,Feather Jazz Collection,Leonard Feather Jazz Collection,5672,688,,,lfc,visible,,,ijc,,ijc-collection-template/feather_leonard,https://www.ijc.uidaho.edu/feather_leonard/assets,yes,,https://github.com/uidaholib/ijc-collection-template/tree/feather_leonard,2023-12,yes,https://www.ijc.uidaho.edu/feather_leonard/,IJC; Jazz;,IJCCollection,IJC-Feather,"Papers, recordings, and photographs from the collection of Leonard Feather.","The Leonard Feather Collection includes a variety of materials that document and describe the Jazz scene during the middle of the twentieth century. Feather was born in London in 1914 and moved to New York City in 1939. He was a journalist, producer, composer and jazz critic. The collection contains- photos, notebooks, sketches, scores, correspondence, clippings, manuscripts, notes and financial papers.",images; documents; audio; illustrations; scores; video,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01404,1900,1999,feather_leonard,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_161.jpg,Leonard Feather and Maragaret Sands at the Savoy Ballroom
Lewiston Orchards Life Newsletter,lewistonorch,Lewiston Newsletter,Lewiston Orchards Life,25,25,,25,spec_lof,visible,,,,,documents-digital-collection-template/lewistonorch,https://www.lib.uidaho.edu/digital/lewistonorch/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/lewistonorch,2023-12,yes,https://www.lib.uidaho.edu/digital/LewistonOrch/,Idaho; Agriculture;,Collection,Lewiston,"A newsletter documenting daily life in Lewiston Orchards, Idaho (1913-1914)","Lewiston Orchards Life was a newsletter published in Lewiston, Idaho during the early 1900s. The newsletter covers the residential and horticultural lives of those living in the Lewiston Orchards area, which is now a residential neighborhood.",documents,"Lewiston, ID",46.38071,-116.974847,1913,1914,lewistonorch,https://www.lib.uidaho.edu/digital/lewistonorch/items/spec_lof230.html,"Lewiston Orchards Life, 1914 April"
Lionel Hampton Jazz Festival Collection,jazzfest,Lionel Hampton Jazz Festival Collection,Lionel Hampton Jazz Festival Collection,176,176,,176,jazzfest,visible,,,,,ijc-collection-template/jazzfest,https://www.lib.uidaho.edu/digital/jazzfest/assets,yes,ijc,https://github.com/uidaholib/ijc-collection-template/tree/jazzfest,2023-12,yes,https://www.lib.uidaho.edu/digital/jazzfest/,IJC; Jazz; UI;,IJCCollection,Lionel Hampton,"Memorabilia related to the University of Idaho's Jazz Festival, 1969-2020","A digital collection comprised of 30 years' worth of posters, programs, photographs, and oral histories related to the Lionel Hampton Jazz Festival at the University of Idaho.",documents; images; videos,"University of Idaho; Moscow, ID;",46.72732,-117.01388,1969,2020,jazzfest,https://objects.lib.uidaho.edu/jazzfest/jazzfest65.jpg,Lionel Hampton
Lionel Hampton Library Collection,hampton_collection,Hampton Collection,Lionel Hampton Library Collection,6660,"3,603",,,ijcs,visible,,,ijc,,ijc-collection-template/hampton_collection,https://www.ijc.uidaho.edu/hampton_collection/assets,yes,,https://github.com/uidaholib/ijc-collection-template/tree/hampton_collection,2023-12,yes,https://www.ijc.uidaho.edu/hampton_collection/,IJC; Jazz;,IJCCollection,IJC-Hampton,"Scores, documents and images from the Lionel Hampton Collection","The materials in the Lionel Hampton collection span most of his musical career, 1926–2002, with the bulk of the collection dating 1940–1990. The digital collection includes photographs, arrangements, and images of awards and ephemera.",documents; images; scores,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01412,1918,2002,hampton_collection,https://objects.lib.uidaho.edu/ijc/hampton_collection/ijc_lionel_hampton_2971.jpg,Lionel Hampton&apos;s Birthday Party
Mark Brooks Calnon Collection,calnon,Calnon Collection,Mark Calnon Collection,53,53,,53,calnon,visible,y,,,,base-digital-collections-template/calnon,https://www.lib.uidaho.edu/digital/calnon/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/calnon,2023-12,yes,https://www.lib.uidaho.edu/digital/calnon/,Idaho; Labor; War;,Collection,Calnon,"Materials from the life of Mark B. Calnon, World War II Pilot and Prisoner of War","The Mark Brooks Calnon Collection consists of estate materials from 2nd. Lt. Mark Brooks Calnon, including memorabilia relating to his experiences in World War II as a pilot and prisoner of war. The collection includes photographs, documents, an oral history (audio/video/transcript), and a copy of Calnon&apos;s book, Some Lived, Some Died It Was Understood. The collection was put together by Journalism and Mass Media Professor Denise Bennett as part of a Seed Grant funded project.",documents; images; audio; video,"Boise, ID; Germany",43.61349,-116.227996,1941,2013,calnon,https://www.lib.uidaho.edu/digital/calnon/items/calnon15.html,B17 Crew Portrait
McCall Public Library Collection,mccall,McCall Library Collection,McCall Public Library Collection,319,319,,319,mccall,visible,,,,,base-digital-collections-template/mccall,https://www.lib.uidaho.edu/digital/mccall/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/mccall,2022-05,yes,https://www.lib.uidaho.edu/digital/mccall/,Idaho; Water; Wilderness;,Collection,McCall,A collection of family history-related items form the McCall Public Library,A collection of family history-related items form the McCall Public Library,documents; images;,"McCall, ID",44.908901,-116.099141,1815,2014,mccall,https://mccall.lili.org/,McCall Library
McClure Center Archive,mcclure,McClure Center,,85,85,,,,visible,,,,,documents-digital-collections-template/mcclure,https://www.lib.uidaho.edu/digital/mcclure/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/mcclure,2023-12,yes,https://www.lib.uidaho.edu/digital/mcclure/,Idaho; UI; UIResearch,Collection,McClure,Publications from the James A. and Louise McClure Center for Public Policy Research,A collection of publications from the University of Idaho's James A. and Louise McClure Center for Public Policy Research,documents,Idaho,,,2003,2022,mcclure,,Water Snapshot: Idaho Climate-Economy Impacts Assessment
MosCon Collection,moscon,MosCon Collection,,34,34,34,,,visible,y,,,,documents-digital-collections-template/moscon,https://www.lib.uidaho.edu/digital/moscon/assets,yes,some customized,https://github.com/uidaholib/documents-digital-collections-template/tree/moscon,2024-02,yes,https://www.lib.uidaho.edu/digital/moscon/,Science Fiction; Moscow,Collection,MosCon,A collection of MosCon artifacts celebrating the Palouse Empire Science Fiction Association's decades of fandom on the Palouse,"MosCon was a vibrant regional science fiction convention based in Moscow, Idaho, organized by the Palouse Empire Science Fiction Association (PESFA). This digital collection provides access to MosCon program booklets and related artifacts for the twenty-two annual conventions held from 1979 to 2001.",documents; images;,"Moscow, ID",46.732062,-116.998138,1978,2019,moscon,,
Moscow Food Co-op Collection,moscowcoop,Moscow Food Co-op Collection,Moscow Food Co-op Collection,338,338,,338,moscowcoop,visible,,,,,documents-digital-collections-template/moscowcoop,https://www.lib.uidaho.edu/digital/moscowcoop/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/moscowcoop,2023-12,yes,https://www.lib.uidaho.edu/digital/moscowcoop/,Moscow; Grocery; Food,Collection,Moscow,Newsletters published by the Moscow Food Co-op,"Digitized newsletters published by the Moscow Food Co-op, a cooperatively-owned grocery store in Moscow, Idaho. Newsletter content includes announcements and descriptions of community events, articles on food and gardening, and recipes.",documents,"Moscow, ID",46.732062,-116.998138,1975,2016,moscowcoop,https://www.lib.uidaho.edu/digital/moscowcoop/items/moscowcoop0015.html,Cover of newsletter September 1987 featuring corn on the cob on a yellow background
Moving Forward While Looking Back,hiroshima,Moving Forward While Looking Back,,83,83,83,,,visible,,,,,base-digital-collections-template/hiroshima,https://www.lib.uidaho.edu/digital/hiroshima/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/hiroshima,2023-12,yes,https://www.lib.uidaho.edu/digital/hiroshima/,UI; Japan; War,Collection,Moving Forward,"Japanese Americans, Japan, Idaho and the University","This exhibit explores the impact that World War II had not only on those of Japanese ancestry in the United States, but also those in Japan who survived and rebuilt after the use of the atomic bomb and the role Idaho played through it all. It looks at the atrocities of war and the resilience and hope of those who live through it.",images;documents,"Hiroshima, Japan",34.37638234,132.4695732,1941,2011,hiroshima,https://www.lib.uidaho.edu/digital/hiroshima/items/hiroshima001.html,Hiroshima or Nagasaki after bombing
National Oldtime Fiddlers' Collection,fiddlers,National Oldtime,,116,116,116,,,visible,,,,,base-digital-collections-template/fiddlers,https://www.lib.uidaho.edu/digital/fiddlers/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/fiddlers,2023-12,yes,https://www.lib.uidaho.edu/digital/fiddlers/,Idaho; Music,Collection,National Oldtime,"Recordings, photographs, and memorabilia from the contest and festival.","A collection of recordings and memorabilia from the National Oldtime Fiddlers' Contest and Festival held in Weiser, Idaho.",images;documents;audio,"Weiser, ID",44.25081825,-116.9695324,1953,2023,fiddlers,https://www.lib.uidaho.edu/digital/fiddlers/items/fiddlers105.html,Signal-American fiddle Edition article
Nez Perce Collection,nezperce,Nez Perce Collection,Nez Perce Historical Photograph Collection,583,583,,,nezperce,noshow,,no,other,,,,n/a,this collection has been removed permanently,,,,https://www.lib.uidaho.edu/digital/nezperce/,Idaho; Native Americans; Northwest;,Collection,Nez,20th Century photographs of the Nez Perce/Niimíipuu Native Americans,The Nez Perce Historical Portrait Collection includes nearly 600 photographs of individuals and groups from the Nez Perce/Nimíipuu tribe. Most photographs were taken during the first half of the 20th century. Much of the collection is comprised of studio photographs that have been taken of both individuals and families.,images,"Nez Perce National Historical Park; Lapwai, ID; Spalding, ID;",46.449904,-116.817596,1900,1955,nezperce,https://digital.lib.uidaho.edu/cdm/ref/collection/nezperce/id/512,"Border Days Grangeville, Idaho"
Northwest Historical Postcards Collection,postcards,Postcards Collection,Northwest Historical Postcards Collection,811,811,,811,nwpostcards,visible,y,,,,base-digital-collections-template/postcards,https://www.lib.uidaho.edu/digital/postcards/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/postcards,2024-02,yes,https://www.lib.uidaho.edu/digital/postcards/,Idaho; Northwest; Forests; Water; Wilderness;,Collection,Postcards,Digitized Historical Postcards from Idaho and the Greater Northwest,This digital collection of over 800 postcards comes from the historical photograph collections of the University of Idaho Library&apos;s Special Collections &amp; Archives. The postcards range in date from the 1890s to the 1980s.,images,Washington; Oregon; Idaho; Montana; Wyoming; British Columbia; Alberta,46.716798,-119.597168,1890,1980,postcards,https://www.lib.uidaho.edu/digital/postcards/items/nwpostcards406.html,"Syinga Time, Lake Pend Oreille, North Idaho"
"Other Faces, Other Lives",otherfaces,"Other Faces, Other Lives",,34,34,34,,,visible,,,,,oral-history-collections-template/otherfaces,https://www.lib.uidaho.edu/digital/otherfaces/assets,yes,,https://github.com/uidaholib/oral-history-collections-template/tree/otherfaces,2024-01,yes,https://www.lib.uidaho.edu/digital/otherfaces,Idaho; Asian Americans; Oral History,Collection,Other Faces,Interviews of Asian American families on their lives and experiences in Idaho,"A collection of materials related to the oral history project produced from 1987-90 interviewing Asian American families about their experiences living, working, and raising a family in Idaho.",documents; video; ,Idaho,43.61414462,-116.2043794,1987,1990,otherfaces,https://www.lib.uidaho.edu/digital/otherfaces/items/otherfaces075.html,"Screenshots from the Other Faces, Other Lives video."
Ott Historical Photograph Collection,ott,Ott Collection,Ott Historical Photograph Collection,1826,"1,826",,"1,826",ott,visible,,,,,base-digital-collections-template/ott,https://www.lib.uidaho.edu/digital/ott/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/ott,2024-02,yes,https://www.lib.uidaho.edu/digital/ott/,Idaho; Latah; Moscow;,Collection,Ott,"Photographs from local Clifford M. Ott depicting northern Idaho as it was, 1890 - 1980","Clifford M. Ott donated this broad collection of historical photographs in 1992. Ott was an avid amateur photographer who amassed over 10,000 slides, prints, and negatives spanning the years from 1883 to 1990. The digital collection represents a selection from Ott&apos;s whole collection, which he compiled into eleven albums containing a total of over 1,800 images of Moscow and surrounding Latah County and used to educate local citizens.",images; newspaper,"Latah County, ID; Moscow, ID; Genesee, ID; Potlatch, ID; Princeton, ID; Harvard, ID; Lewiston, ID; Clarkston, WA; Troy, MT; Livingston, MT; Ralston, NE;",46.731518,-117.001358,1880,1989,ott,https://objects.lib.uidaho.edu/ott/ott0.jpg,"Fat Men&apos;s Race. Moscow, July 4, 1911."
Potlatch Historical Society Collection,phs,Potlatch Historical Society,Potlatch Historical Society,1781,"1,781",,"1,781",phs,visible,,,,,base-digital-collections-template/phs,https://www.lib.uidaho.edu/digital/phs/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/phs,2023-12,yes,https://www.lib.uidaho.edu/digital/phs/,"Idaho; Northwest; Forests; Wilderness; Fire; Latah; Potlatch, ID",AltCollection,Potlatch Historical,"Potlatch Historical Society Collection Depicting life in and around Potlatch, Idaho from 1880 to 1998","Potlatch Historical Society Collection Depicting life in and around Potlatch, Idaho from 1880 to 1998",documents; images;,Idaho,46.921048,-116.903855,1880,1998,phs,https://objects.lib.uidaho.edu/phs/phs1810.jpg,Longest Logging Train
Potlatch Lumber Company Photograph Collection,plcphotos,Potlatch Lumber Co. Photos,Potlatch Lumber Company Photograph Collection,1570,"1,570",,"1,570",plcphotos,visible,,,,,base-digital-collections-template/plcphotos,https://www.lib.uidaho.edu/digital/plcphotos/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/plcphotos,2023-12,yes,https://www.lib.uidaho.edu/digital/plcphotos/,"Idaho; Northwest; Forests; Wilderness; Fire; Latah; Potlatch, ID",AltCollection,Potlatch Lumber,A collection of over 1500 photographs from the Potlatch Lumber Company,A collection of over 1500 photographs from the Potlatch Lumber Company,images,Idaho,46.921048,-116.903855,1896,1999,plcphotos,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos16.html,"White Pine King, 1911"
Priest Lake Historical Photograph Collection,priestlake,Priest Lake Collection,Priest Lake Historical Photograph Collection,380,380,,380,priestlake,visible,,,,,base-digital-collections-template/priestlake,https://www.lib.uidaho.edu/digital/priestlake/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/priestlake,2023-12,yes,https://www.lib.uidaho.edu/digital/priestlake/,Idaho; Northwest; Water; Forests;,Collection,Priest,"Historical Photographs of Priest lake, Idaho and the surrounding area, 1880 - 1950","A digital collection comprised of 380 historical photographs of Priest Lake, Idaho and the surrounding area. The images span the years 1880 to 1950, documenting the area&apos;s waters, boats, buildings, landscape and people.",images,"Priest Lake, ID; Upper Priest Lake, ID; Priest River, ID; Coolin, ID; Idaho;",48.514088,-116.871872,1880,1950,priestlake,https://www.lib.uidaho.edu/digital/priestlake/items/priestlake370.html,Dewey Huot&apos;s Mama
Professor Daniel Bukvich Composition Collection,bukvich,Professor Daniel Bukvich Composition Collection,,28,93,93,,,visible,,,,,,https://www.lib.uidaho.edu/digital/bukvich/assets,,,https://github.com/uidaholib/bukvich-project,2022-12,yes,https://www.lib.uidaho.edu/digital/bukvich/,UI; Idaho; Music; Jazz; Composition,Collection,Professor,"Scores, sketches, parts, and auxiliary material from Professor Bukvich's composition process","A collection of scores, sketches, parts, and auxiliary material produced by University of Idaho Lionel Hampton School of Music Composition Professor Daniel Bukvich.",documents,"University of Idaho; Moscow, ID;",46.72732,-117.01388,1986,2022,bukvich,https://www.lib.uidaho.edu/digital/bukvich/items/bukvich0021.html,In Memoriam Dresden score
Psychiana Digital Collection,psychiana,Psychiana,Psychiana Digital Collection,1323,"1,323",,"1,323",psychiana,visible,y,,,,documents-digital-collections-template/pyschiana,https://www.lib.uidaho.edu/digital/psychiana/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/psychiana,2024-02,yes,https://www.lib.uidaho.edu/digital/psychiana/,Idaho; Northwest; Latah; Religion;,AltCollection,Psychiana,"Materials from the Frank B. Robinson Papers documenting Psychiana, a religion popular in the 1930s and 40s","Materials from the Frank B. Robinson Papers documenting Psychiana, a religion popular in the 1930s and 40s",images; documents; audio,"Moscow, ID",46.733711,-117.001252,1930,1952,psychiana,https://objects.lib.uidaho.edu/psychiana/psychiana548.jpg,Photograph of Clerical and Bookkeeping Staff from the Branch Mailing Department.
