room_id,floor,svg_id,name,zone,room_number,short_description,long_description,more_info_url,action_url,action_label,photo_url,video_url,librarian_id,is_tour_stop,tour_order,notes
current-periodicals,1,Current_Periodicals,Current Periodicals,collab,,Recent issues of magazines and journals.,"Recent issues of magazines and journals, available in the Living Room.",,,,,,,FALSE,,Sub-area within the Living Room.
graphic-novels,1,Graphic_Novels,Graphic Novels,collab,,Graphic novels collection in the Living Room.,"The library's graphic novels collection, located in the Living Room.",,,,,,,FALSE,,Sub-area within the Living Room.
the-studio,1,Studio,The Studio,resources,,"Audiovisual recording, editing, and digitization space.","The Studio offers dedicated space to students, staff, and faculty to record, edit, and digitize audiovisual content to support their teaching, learning, and creative pursuits.",,,Reserve,,,,TRUE,2,
computer-lab-floor-1,1,Computer_Lab,Student Computer Lab,resources,,"Computers with specialized software (MATLAB, ArcGIS, Adobe).","Computer labs are located on the Library's first, second, and fourth floors. The labs offer specialized software such as MATLAB, MathCAD, SPSS, ArcGIS, Adobe Creative Suite, and other applications.",,,,,,,TRUE,4,
the-mill,1,Mill,The Mill,resources,134,"The library's makerspace — buttons, vinyl, 3D printing, and more.","The Making, Innovating, and Learning Laboratory (AKA The Mill) is the library's makerspace. You can find tools and equipment here to make buttons, vinyl stickers, your own 3D prints, and so much more.",,,Reserve,,,,TRUE,7,
data-hub,1,DataHub,Data Hub & Map Room,resources,107,"GIS, data sciences, data analysis, and the physical map collection.","Home to the physical portion of the university's map collection. The Data Hub is a dedicated service location providing co-curricular and research support in the areas of geographic information systems, data sciences, and data analysis.",,,,,,,TRUE,6,
library-computer-1-entrance,1,Library_Computer_2,Library Computer (Entrance),resources,,Public-access computer near the entrance.,,,,,,,,FALSE,,
reference-collection,1,Reference_Collection,Reference Collection,resources,,"Encyclopedias, dictionaries, and handbooks for in-library use.","Quick-reference works (encyclopedias, dictionaries, handbooks) for in-library use.",,,,,,,FALSE,,
library-computer-1-reference,1,Library_Computer_1,Library Computer (Reference area),resources,,Public-access computer near the Reference Collection.,,,,,,,,FALSE,,
kic-scanner,1,KIC_Scanner,KIC Scanner,resources,,Self-service book and document scanner.,A self-service scanner station for digitizing books and documents to PDF or image files.,,,,,,,FALSE,,
its-help-desk,1,ITS_Help_Desk,ITS Help Desk,resources,,ITS staff available for computer and printing help.,ITS staff can help you with your computer and printing needs.,,,,,,,TRUE,5,
mail-room-floor-1,1,MailRoom,Mail Room,nonpublic,,Library mail room (staff only).,,,,,,,,FALSE,,
facilities-floor-1,1,Facilities,Facilities,nonpublic,,Facilities area (staff only).,,,,,,,,FALSE,,
restrooms-floor-1-fishbowl,1,Fishbowl_Restrooms,Restrooms (Fishbowl),restrooms,,"Restrooms inside the Fishbowl, near the entrance.","Restrooms inside the Fishbowl, near the entrance.",,,,,,,FALSE,,
restrooms-floor-1-w,1,Womens,Restrooms,restrooms,,Accessible restrooms near the main staircase.,Accessible restrooms are located near the main staircase.,,,,,,,FALSE,,Womens shape; deduped with Mens in UI.
restrooms-floor-1-m,1,Mens,Restrooms,restrooms,,Accessible restrooms near the main staircase.,Accessible restrooms are located near the main staircase.,,,,,,,FALSE,,Mens shape; deduped with Womens in UI.
vandal-tutoring,2,Vandal_Drop_In_Tutoring,Vandal Drop-In Tutoring,service,,Free drop-in tutoring for undergraduates. No appointment needed.,Tutoring & College Success offers drop-in tutoring at no additional cost to undergraduate students. No appointments are required and support is offered for a wide range of subjects.,,,,,,,TRUE,2,
instruction-room-212a,2,Instruction_Room_212A,Instruction Room,service,212A,Reservable classroom for library workshops and class sessions.,A reservable instruction classroom for library workshops and class sessions.,,,Reserve,,,,FALSE,,Categorized as Service per editor decision.
research-help-desk,2,Research_Help_Desk,Research Help Desk,service,,Librarians on duty for research questions.,"Librarians are available to help you with your questions about research, library resources, and more.",,,,,,,TRUE,1,
writing-center,2,Writing_Center,Writing Center,service,,Writing support across all disciplines and stages of the writing process.,The Writing Center supports student writers across all disciplines and stages of the writing process.,,,,,,,FALSE,,
group-study-space-floor-2,2,Group_Study_Space,Group Study Space,collab,,Open collaborative seating area on the second floor.,"An open area for collaborative work and group study, also used for tutoring sessions.",,,,,,,FALSE,,
tutoring-staff-lounge,2,Tutoring_Staff_Lounge,Tutoring Staff Lounge,nonpublic,,Staff lounge for tutoring center staff (staff only).,,,,,,,,FALSE,,
library-staff-lounge-floor-2,2,Library_Staff_Lounge,Library Staff Lounge,nonpublic,,Library staff lounge (staff only).,,,,,,,,FALSE,,
staff-elevator-floor-2,2,Staff_Elevator,Staff Elevator,nonpublic,,Staff elevator (staff only).,,,,,,,,FALSE,,
utility-closet-floor-2,2,Utility_Closet,Utility Closet,nonpublic,,Utility closet (staff only).,,,,,,,,FALSE,,
individual-study-floor-2,2,Individual_Study_Space,Individual Study Space,study,,Quiet perimeter seating for individual study.,Quiet seating along the perimeter for individual study.,,,,,,,FALSE,,
dual-monitor-lab,2,Dual_Monitor_Student_Computer_Lab,Dual Monitor Student Computer Lab,resources,,Dual-monitor computer workstations with specialized software.,"Computer lab featuring dual-monitor workstations. Specialized software available includes MATLAB, MathCAD, SPSS, ArcGIS, and Adobe Creative Suite.",,,,,,,FALSE,,
cdil,2,CDIL,Center for Digital Inquiry and Learning (CDIL),resources,,Advances digital scholarship at the University of Idaho.,The Center for Digital Inquiry and Learning (CDIL) works to advance digital scholarship opportunities at the University of Idaho.,https://cdil.lib.uidaho.edu,,,,,,TRUE,5,
newspapers,2,Newspapers,Newspapers,resources,,Current print newspapers from regional and national publications.,Current print newspapers from regional and national publications.,,,,,,,FALSE,,
exhibit-space,2,Exhibit,Exhibit Space,resources,,Rotating exhibits highlighting library collections.,Rotating exhibits highlighting library collections and campus scholarship.,,,,,,,FALSE,,
dvds,2,DVDs,DVDs,resources,,"Feature films, TV series, documentaries, and concert films.","The library has an extensive collection of DVDs and also offers streaming video for the classroom and personal use of the UI community. Holdings include feature films, TV series, concert films, documentaries, and more.",,,,,,,TRUE,3,
travel-guides,2,Travel_Guides,Travel Guides,books,,Travel guides for destinations around the world.,Travel guides covering destinations around the world.,,,,,,,FALSE,,
books-t-z,2,Books_T_to_Z,Main Stacks: Books T–Z,books,,"Main Stacks T–Z: Technology, Engineering, Military Science, Library Science.","The Main Stacks are the University of Idaho Library's primary book collection, organized using the Library of Congress system. The Main Stacks end on the second floor with T–Z, covering Technology, Engineering, Military Science, and Library Science.",,,,,,,TRUE,6,
periodicals-a-hc,2,Periodicals_A_to_HC,Periodicals A–HC,periodicals,,Bound print periodicals A–HC.,"Bound print periodicals A–HC. Most periodicals are available electronically through the library databases, but our print periodicals are found on the second floor. Call numbers for periodicals start with ""Per.""",,,,,,,FALSE,,
periodicals-tn-z,2,Periodicals_TN_to_Z,Periodicals TN–Z,periodicals,,Bound print periodicals TN–Z.,Bound print periodicals TN–Z.,,,,,,,FALSE,,
periodicals-qk-tn,2,Periodicals_QK_to_TN,Periodicals QK–TN,periodicals,,Bound print periodicals QK–TN.,Bound print periodicals QK–TN.,,,,,,,TRUE,4,Representative periodical-stack tour stop.
periodicals-n-qk,2,Periodicals_N_to_QK,Periodicals N–QK,periodicals,,Bound print periodicals N–QK.,Bound print periodicals N–QK.,,,,,,,FALSE,,
periodicals-hd-n,2,Periodicals_HD_to_N,Periodicals HD–N,periodicals,,Bound print periodicals HD–N.,Bound print periodicals HD–N.,,,,,,,FALSE,,
restrooms-floor-2-m,2,Mens,Restrooms,restrooms,,Accessible restrooms near the central staircase.,Accessible restrooms are located near the central staircase.,,,,,,,FALSE,,Mens shape; deduped with Womens in UI.
restrooms-floor-2-w,2,Womens,Restrooms,restrooms,,Accessible restrooms near the central staircase.,Accessible restrooms are located near the central staircase.,,,,,,,FALSE,,Womens shape; deduped with Mens in UI.
books-qd-sk,3,Books_QD_to_SK,Main Stacks: Books QD–SK,books,,Main Stacks QD–SK.,"The Main Stacks are the University of Idaho Library's primary book collection, organized using the Library of Congress system. This range covers QD–SK.",,,,,,,TRUE,3,Representative main-stacks tour stop on floor 3.
books-qa-qd,3,Books_QA_to_QD,Main Stacks: Books QA–QD,books,,Main Stacks QA–QD.,"Main Stacks QA–QD, organized by Library of Congress call numbers.",,,,,,,FALSE,,
books-ps-q,3,Books_PS_to_Q,Main Stacks: Books PS–Q,books,,Main Stacks PS–Q.,"Main Stacks PS–Q, organized by Library of Congress call numbers.",,,,,,,FALSE,,
books-pn-ps,3,Books_PN_to_PS,Main Stacks: Books PN–PS,books,,Main Stacks PN–PS.,"Main Stacks PN–PS, organized by Library of Congress call numbers.",,,,,,,FALSE,,
books-m-pn,3,Books_M_to_PN,Main Stacks: Books M–PN,books,,Main Stacks M–PN.,"Main Stacks M–PN, organized by Library of Congress call numbers.",,,,,,,FALSE,,
books-h-m,3,Books_H_to_M,Main Stacks: Books H–M,books,,Main Stacks H–M.,"Main Stacks H–M, organized by Library of Congress call numbers.",,,,,,,FALSE,,
oversize-books,3,Oversize_Books_A_to_Z,Oversize Books A–Z,books,,Oversize books across all call number ranges.,"Oversize books spanning the full A–Z call number range, kept separately due to their large format.",,,,,,,FALSE,,
microforms,3,Microforms,Microforms,resources,,Older newspapers and documents on microfilm.,Older issues of the Library's print newspapers and some other documents are available on microfilm. They can be viewed with the specialized microfilm readers.,,,,,,,TRUE,1,
library-computer-floor-3,3,Library_Computer,Library Computer,resources,,Public-access computer.,,,,,,,,FALSE,,
cds-lps,3,LPs_CDs_CD-ROMs,"CDs, LPs & CD-ROMs",resources,,CDs and LPs available for checkout.,The Library has a collection of CDs and LPs available for check out.,,,,,,,TRUE,4,
microform-readers,3,Microform_Readers,Microform Readers,resources,,Specialized readers for viewing microfilm.,Microform readers for viewing the library's microfilm collection.,,,,,,,FALSE,,
restrooms-floor-3-w,3,Womens,Restrooms,restrooms,,Accessible restrooms near the central staircase.,Accessible restrooms are located near the central staircase.,,,,,,,FALSE,,Womens shape; deduped with Mens in UI.
restrooms-floor-3-m,3,Mens,Restrooms,restrooms,,Accessible restrooms near the central staircase.,Accessible restrooms are located near the central staircase.,,,,,,,FALSE,,Mens shape; deduped with Womens in UI.
study-carrels-floor-3,3,Study_Carrells,Study Carrels,nonpublic,,Individual study carrels.,"Individual study carrels for quiet, focused work.",,,,,,,FALSE,,SVG id is 'Study_Carrells' (extra l) — match exactly.
individual-study-windows-floor-3,3,Individual_Study_Windows,Individual Study (Windows),study,,Individual study seating along the windows.,Quiet study seating along the perimeter windows of the third floor.,,,,,,,FALSE,,
individual-study-floor-3,3,Individual_Study,Individual Study,study,,Individual study area.,Quiet seating for individual study.,,,,,,,FALSE,,
group-study-rooms-floor-3-1,3,Group_Study_Rooms_1,Group Study Rooms (lower),collab,,"First-come, first-served group study rooms.","The library's first come, first served study rooms are on the 3rd and 4th floors.",,,,,,,TRUE,2,
group-study-rooms-floor-3-2,3,Group_Study_Rooms_2,Group Study Rooms (upper),collab,,"First-come, first-served group study rooms.","The library's first come, first served study rooms are on the 3rd and 4th floors.",,,,,,,FALSE,,
library-admin-offices,4,Library_Administration_Offices,Library Administration Offices,admin,,Library administration offices.,Offices for library administration.,,,,,,,FALSE,,
faculty-staff-offices,4,Library_Faculty_and_Staff_Offices,Library Faculty and Staff Offices,admin,,Library faculty and staff offices.,Offices for library faculty and staff. Visit by appointment.,,,,,,,FALSE,,
library-tsp-office,4,Library_TSP_Office,Library TSP Office,admin,,Library TSP office.,,,,,,,,FALSE,,Confirm full name of TSP for editor copy.
individual-study-floor-4,4,Individual_Study_Spaces,Individual Study Spaces,study,,Quiet perimeter seating for individual study.,Quiet study seating along the perimeter of the floor.,,,,,,,FALSE,,
group-study-rooms-floor-4,4,Group_Study_Rooms,Group Study Rooms,collab,,"First-come, first-served group study rooms.","The library's first come, first served study rooms are on the 3rd and 4th floors.",,,,,,,FALSE,,
restrooms-floor-4-w,4,Womens,Restrooms,restrooms,,Accessible restrooms near the central staircase.,Accessible restrooms are located near the central staircase.,,,,,,,FALSE,,Womens shape; deduped with Mens in UI.
restrooms-floor-4-m,4,Mens,Restrooms,restrooms,,Accessible restrooms near the central staircase.,Accessible restrooms are located near the central staircase.,,,,,,,FALSE,,Mens shape; deduped with Womens in UI.
books-a-e,4,Books_A_to_E,Main Stacks: Books A–E,books,,Main Stacks A–E.,The Main Stacks are the University of Idaho Library's primary book collection. Call numbers A–E are housed on the fourth floor and include General Works through History of the Americas.,,,,,,,FALSE,,
books-e-gv,4,Books_E_to_GV,Main Stacks: Books E–GV,books,,Main Stacks E–GV.,"The Main Stacks are the University of Idaho Library's primary book collection. Call numbers E–GV cover History of the Americas, Geography, Anthropology, and Recreation.",,,,,,,FALSE,,
computer-lab-floor-4,4,Student_Computer_Lab,Student Computer Lab,resources,,Computer lab on the fourth floor.,"Computer lab featuring workstations with specialized software including MATLAB, MathCAD, SPSS, ArcGIS, and Adobe Creative Suite.",,,,,,,FALSE,,
library-computer-floor-4,4,Library_Computer,Library Computer,resources,,Public-access computer.,,,,,,,,FALSE,,
boise-cascade-room,4,Boise_Cascade_Assistive_Technology_Room,Boise Cascade Assistive Technology Room,resources,418,Assistive technology lab for students with disabilities.,The Boise Cascade Assistive Technology Room is home to the Center for Disability Access and Resources' assistive technology lab (CDAR). This space features an array of assistive technologies including hardware and software designed to assist students with disabilities.,,,,,,,TRUE,1,
rcds,4,Research_Computing_and_Data_Services,Research Computing and Data Services (RCDS),resources,,Data management support and applications for UI researchers.,Research Computing and Data Services (RCDS) provides data management support and applications for UI researchers and their collaborators.,,,,,,,TRUE,2,
graduate-carrels-floor-4,4,Graduate_Student_Carrels,Graduate Student Carrels,nonpublic,,Carrels reserved for approved graduate students.,"Study carrels are available to UI graduate students who have an approved thesis or dissertation topic and who do not have an assigned office, desk, or carrel elsewhere on campus. Carrel applications are available online and at the Circulation Desk.",,,Apply for a carrel,,,,FALSE,,Categorized as NonPublic per editor decision.
conference-room-403,4,Conference_Room_403,Conference Room,nonpublic,403,Library conference room (staff use).,A conference room used by library staff for meetings.,,,,,,,FALSE,,Categorized as NonPublic per editor decision.
