accession_number,title,extent
MA 1986-25,Cecil W. Hathaway Papers,4.00 Cubic_feet
MA 2018-03,Cedar and a Cedar Mill at Kamiah Photographs,1.00 Folder
UA 1999-17,Centennial Office Files,3.00 Cubic_feet
UA 1996-14,Centennial Office Records,0.50 Cubic_feet
UA 2001-09,Center for Business Development Data Tapes,1.00 Cubic_feet
UA 2017-17,Center for Volunteerism and Social Action Records,0.50 Cubic_feet
UA 2017-19,Center for Volunteerism and Social Action Records,1.00 Cubic_feet
MA 2001-14,Charles A. Wellner Papers,1.50 Cubic_feet
MA 2003-26,Charles E. Powell Papers,4.00 Cubic_feet
MA 2004-02,Charles E. Powell Papers,3.00 Cubic_feet
MA 2014-60,Charles James McCollister Collection,8.00 Cubic_feet
MA 2000-13,Charles L. Peterson Papers,12.00 Cubic_feet
MA 2001-21,Charles L. Peterson Papers,29.00 Cubic_feet
MA 2002-04,Charles L. Peterson Papers,19.00 Cubic_feet
UA 2008-16,Charles L. Peterson Papers,33.00 Cubic_feet
UA 2009-12,Charles L. Peterson Papers,1.00 Cubic_feet
MA 2017-19,Charles Red McCollister Charles Red McColister Collection,1.50 Cubic_feet
MA 2017-16,Charles Red McCollister papers,2.00 Cubic_feet
MA 2018-19,Charles Red McCollister Papers,1.00 Folder
MA 2001-16,Charles Wellner Papers,8.00 Cubic_feet
MA 2004-18,Charlie E. Powell Papers,4.00 Cubic_feet
MA 2015-23,Chatcolab Northwest Leadership Laboratory Records,5.00 Cubic_feet
MA 2017-33,Chatcolab Northwest Leadership Laboratory Records,2.00 Cubic_feet
MA 2019-43,Chatcolab Northwest Leadership Laboratory records,1.00 Cubic_feet
MA 2016-38,Check to Henry M Saad signed by Frank Leland,1.00 Folder
UA 2007-17,Chemical Engineering Department Records,7.00 Cubic_feet
UA 1989-15,Chemistry Department Requisitions,0.50 Cubic_feet
UA 1992-23,Chemistry Department Student Papers,1.50 Cubic_feet
MA 2019-58,Chris Baugher collection,1.00 Folder
UA 2000-03,Chris Schnept Photographs,1.00 Cubic_feet
MA 2011-26,Ciro and Elizabeth Molina Collection,254.00 Volumes
