accession_number,title,extent
UA 1988-17,Library Staff Association Records,1.00 Cubic_feet
UA 1989-37,Library Staff Association Records,0.50 Cubic_feet
UA 1990-35,Library Staff Association Records,0.50 Cubic_feet
UA 1993-17,Library Staff Association Records,0.50 Cubic_feet
UA 1993-19,Library Staff Association Records,0.50 Cubic_feet
UA 1994-01,Library Staff Association Records,1.00 Cubic_feet
UA 1995-21,Library Staff Association Records,1.00 Cubic_feet
UA 1995-22,Library Staff Association Records,0.50 Cubic_feet
UA 2001-10,Library Staff Association Scrapbooks,1.00 Cubic_feet
UA 2018-16,Library Staff Social Organization (LSSO) Records,0.25 Cubic Feet
UA 2013-01,Library Staff Social Organization Records,0.25 Cubic_feet
UA 2015-13,Library Staff Social Organization Records,1.00 Cubic_feet
UA 2015-14,Library Staff Social Organization Records,1.00 Cubic_feet
UA 1992-26,Library Welfare Committee Records,0.50 Cubic_feet
MA 2018-15,Linda Molden Aerial Photograph,0.00 null
UA 2016-20,Lionel Hampton Jazz Festival Advisory Board Collection,0.50 Cubic_feet
UA 2012-09,Lionel Hampton School of Music Records,6.00 Cubic_feet
UA 2009-16,Living/Learning Center Records,1.00 Cubic_feet
MA 2010-02,"London, Bill Papers",0.50 Cubic_feet
MA 2011-29,Lori Brown Rush Collection,0.50 Cubic_feet
MA 2018-32,Lorin W. and Florence Greathouse Roberts Collection,5.00 Cubic_feet
MA 2010-20,Louis August Collection,0.50 Cubic_feet
MA 1995-48,Louise Shadduck Papers,2.50 Cubic_feet
MA 2008-23,Louise Shadduck Papers,24.00 Cubic_feet
MA 2000-37,Lyle J. Reed Collection,8.00 Cubic_feet
MA 2019-56,Lyle M. Rowell scrapbook,1.00 Cubic_feet
UA 2019-24,Lynn Baird collection,3.00 Cubic_feet
UA 2018-19,Lynn Baird papers,1.00 Folder
MA 2002-34,M. Belle Sweet Letters,1.50 Cubic_feet
IJC MA 2019-47,Madeleine Crouch collection,1.00 Cubic_feet
MA 2016-61,Malcolm and Carol Renfrew Papers,6.00 Cubic_feet
MA 2001-13,Malcolm Larch Furness Papers,6.00 Cubic_feet
MA 2008-18,Malcolm M. and Carol C. Renfrew Papers,3.00 Cubic_feet
MA 2008-24,Malcolm M. and Carol C. Renfrew Papers,10.00 Cubic_feet
MA 2008-36,Malcolm M. and Carol C. Renfrew Papers,10.00 Cubic_feet
MA 2009-07,Malcolm M. and Carol C. Renfrew Papers,0.50 Cubic_feet
MA 1989-37,Malcolm M. Renfrew Papers,4.50 Cubic_feet
MA 2013-16,Malcolm M. Renfrew Papers,1.00 Cubic_feet
MA 1995-43,Malcolm Renfrew Papers,0.50 Cubic_feet
MA 2002-24,Malcolm Renfrew Papers,2.00 Cubic_feet
MA 2016-08,Malcolm Renfrew Papers,0.50 Cubic_feet
UA 2006-03,Management Information Services Records,12.00 Cubic_feet
UA 2008-20,Management Information Services/Institutional Research office Records,1.00 Cubic_feet
MA 2017-31,Marcus J. Ware Book Collection,1.00 Cubic_feet
MA 2016-20,Marcus J. Ware Collection,51.00 Volumes
MA 2018-74,Margaret Nell Longeteig Historical Book Collection,0.50 Linear feet
MA 1997-22,Maria Fraser Papers,1.00 Cubic_feet
MA 2019-25,Maria Fraser papers,1.00 Cubic_feet
MA 1990-12,Marian S. Sweeney Papers,2.00 Cubic_feet
MA 2002-30,Marie Whitesel Papers,0.50 Cubic_feet
MA 2014-09,Marie Whitesel Papers,0.50 Cubic_feet
MA 2015-45,Mark B. Calnon Collection,4.00 Cubic_feet
MA 2018-50,"Mark B. Calnon, Jr. Collection",1.00 Cubic_feet
MA 2017-07,Mark Benson Papers,3.00 Cubic_feet
MA 2016-55,Mark Kimsey Books,1.50 Linear feet
MA 1988-25,Martha Dicks Reprints,4.00 Cubic_feet
UA 1990-39,Martin Institute Records,36.00 Cubic_feet
UA 1992-04,Martin Institute Records,0.50 Cubic_feet
UA 2011-34,Martin Institute Records,0.00 null
UA 2018-26,Martin Institute Records,15.00 Cubic_feet
MA 2012-47,Martin L. Peterson Papers,5.00 Cubic_feet
MA 1990-21,Martin Mickey Photographs,6.00 Cubic_feet
MA 2004-12,Mary Banks Photographs,1.00 Cubic_feet
MA 2016-56,Mary DuPree Collection,5.00 Cubic_feet
MA 2019-54,Mary Dupree research papers,1.50 Cubic Feet
MA 2003-05,Mary Norie Banks Photographs,2.00 Cubic_feet
MA 2004-03,Mary Norie Banks Photographs,2.00 Cubic_feet
MA 1993-18,Maurice and Bonnie Johnson Papers,1.00 Cubic_feet
MA 2000-20,Maurice E. Byrne Papers,0.50 Cubic_feet
MA 1991-16,Maurice Johnson Papers,0.50 Cubic_feet
MA 1995-06,Maurice Johnson Papers,1.00 Cubic_feet
MA 1995-12,Maurice Johnson Papers,3.00 Cubic_feet
MA 2002-22,Maurice Johnson Papers,0.50 Cubic_feet
MA 2011-15,Maurice Johnson Papers,0.25 Cubic_feet
MA 2015-07,Maximizing the power of geographic information systems (GIS) in applied land informatics,1.00 Volumes
MA 1992-39,Maynard A. Fosberg Papers,6.00 Cubic_feet
MA 1993-36,Maynard Fosberg Papers,0.50 Cubic_feet
MA 1997-37,Maynard Miller Papers,10.00 Cubic_feet
MA 2012-43,McClure Papers,2.00 Cubic_feet
UA 1999-04,"McCroskey, William B McCroskey Papers",0.25 Linear feet
UA 2001-03,Mechanical Engineering Photographs,1.00 Cubic_feet
UA 2003-14,Mechanical Engineering Records,3.00 Cubic_feet
UA 2001-11,Mechanical Engineering Silha Memorabilia,0.50 Cubic_feet
UA 2003-16,Mechanical Engineering Student files,4.00 Cubic_feet
UA 2014-21,Media Relations Records,1.00 Cubic_feet
UA 2017-02,Merl R. Imes Papers,1.00 Cubic_feet
MA 1991-34B,Michael Frome Papers,1.00 Cubic_feet
MA 2008-03,Michael Frome Papers,1.00 Cubic_feet
MA 2016-43,Michael Frome papers,21.00 Cubic_feet
MA 2016-44,Michael Frome Papers,3.00 Cubic_feet
MA 2016-46,Michael Frome Papers,5.00 Cubic_feet
MA 2016-47,Michael Frome Papers,1.00 Cubic_feet
MA 2017-04,Michael Frome Papers,1.00 Cubic_feet
MA 2018-54,Michael Frome Papers,0.50 Cubic_feet
UA 2014-07,Michael Tarabulski Papers,0.00 null
MA 2020-08,Mike Flanegan poems,1.00 Folder
MA 2000-21,Mildred Dole Downing Photographs,0.50 Cubic_feet
MA 1996-20,Mildred M. Haberly Papers,1.00 Cubic_feet
MA 1996-34,Mildred Mary Haberly Papers,5.00 Cubic_feet
UA 2018-17,Miles Jamison Willard Collection,1.46 Gigabytes
MA 2003-11,Miles Jamison Willard Papers,2.00 Cubic_feet
MA 2019-52,Mines of North Idaho records,0.50 Cubic Feet
MA 2018-14,Mining Industry of Idaho Reports and other books,1.00 Cubic_feet
UA 2016-24,Miscellaneous Classroom Photographs,1.00 Folder
MA 1987-38,Miscellaneous Education Reports,0.50 Cubic_feet
MA 2012-46,Miscellaneous Mining Maps,1.00 Cubic_feet
MA 2002-07,Monte Steiger Papers,1.50 Cubic_feet
MA 2000-22,Moore Photographs,0.50 Cubic_feet
MA 2009-21,Moose Creek Ranger District and Fenn Ranger District Records,7.00 Cubic_feet
MA 2009-42,Moose Creek Ranger District Historical Files,4.00 Cubic_feet
MA 2008-26,Moose Creek Ranger District/Fenn Ranger District Papers,8.00 Cubic_feet
MA 2009-37,Moose Creek Ranger District/Fenn Ranger District Records,1.00 Cubic_feet
MA 2009-40,Moose Creek Ranger District/Fenn Ranger District Records,2.00 Cubic_feet
MA 2014-18,Morton Roy Brigham Papers,5.00 Cubic_feet
MA 2002-11,Moscow Food Co-Op Newsletter Records,1.00 Cubic_feet
MA 2003-04,"Moscow Meals on Wheels, Inc. Records",0.50 Cubic_feet
MA 2019-42,Moscow Mirror collection,2.00 Cubic_feet
MA 2018-24,Moscow Pullman Daily News Nearby History Publications,1.00 Cubic Feet
MA 2005-09,Moscow Recycling Center Papers,0.50 Cubic_feet
MA 2008-02,Moscow Recycling Center Records,0.50 Cubic_feet
MA 1995-29,Moscow Renaissance Fair Records,1.00 Cubic_feet
MA 1996-21,Moscow Renaissance Fair Records,2.00 Cubic_feet
MA 1996-29,Moscow Renaissance Fair Records,1.00 Cubic_feet
MA 2000-24,Moscow Renaissance Fair Records,0.50 Cubic_feet
UA 2012-05,Moscow UI Faculty Portrait,3.00 Linear feet
MA 1999-18,Moscow Vision 2020 Records,2.50 Cubic_feet
MA 2014-53,"Moscow, ID Photographs",1.00 Folder
MA 2011-13,Mundt Family Papers,0.50 Cubic_feet
UA 1991-033,Music Department Records,0.50 Cubic_feet
UA 1980-040,Music Faculty Records,2.00 Volumes
UA 1984-07,Music from Idaho,1.50 Cubic_feet
MA 2005-16,Myrtle Eleanor Jones Papers,2.50 Cubic_feet
UA 2014-16,N. L. Terteling Photographs,0.00 null
MA 2004-10,Nancy Atkinson Scrapbook,0.50 Cubic_feet
MA 2009-13,Naomi E. Stebbins Scrapbook,0.50 Cubic_feet
MA 2019-34,National Convention of National Congress of American Indians photograph,Oversized
UA 2013-07,National Medal of Arts Ceremony Memorabilia,1.00 Folder
UA 2008-11,National Medal of Arts to the Lionel Hampton Jazz Festival,1.00 Cubic_feet
MA 1995-04,National Organization of Women Records,1.00 Cubic_feet
UA 1985-03,National Science Foundation Summer Institute Records,0.50 Cubic_feet
MA 2007-05,Neal Parsell Papers,0.50 Cubic_feet
MA 2011-28,Neil McCaffrey Papers,0.50 Cubic_feet
MA 2007-12,Neil Speirs Photographs of the University of Idaho,0.50 Cubic_feet
MA 2019-21,Nellie Thornburg memory album,1.00 Folder
UA 1990-42,News Bureau Faculty Photographs,1.00 Cubic_feet
UA 1987-21,News Bureau Films,1.00 Cubic_feet
UA 1989-27,News Bureau Photographs,1.00 Cubic_feet
UA 1989-46,News Bureau Records,16.50 Cubic_feet
UA 1980-134,Newspaper clippings,28.00 Linear feet
MA 1996-45,Newton Sibley Morse Papers,0.50 Cubic_feet
MA 2002-13,Nez Perce County Extension Homemakers Council Records,3.00 Cubic_feet
MA 2002-32,Nez Perce County Extension Homemakers Council Records,0.70 Cubic_feet
MA 2005-23,Nez Perce County Extension Records,1.00 Cubic_feet
MA 2016-04,Nobby Inn Collection,0.25 Cubic_feet
MA 1996-47,Norma Lewis Papers,0.50 Cubic_feet
MA 1998-19,North Central Idaho Regional Library System Records,1.00 Cubic_feet
MA 2014-31,North Idaho Community Action Network (NICAN) Records,15.00 Cubic_feet
MA 2014-19,North Idaho Community Action Network Records,14.00 Cubic_feet
MA 2016-25,Northern Pacific Railway Historical Association (NPRHA) Timetables Scrapbook from Camas Prairie,1.00 Cubic_feet
MA 2008-34,Northern State Bank Records,1.00 Folder
MA 2003-07,Northern State Bank Scrapbook,1.00 Volumes
MA 2018-61,Northwest Archivists Papers,0.25 Cubic_feet
MA 1998-08,Northwest District AAHPERD Records,3.00 Cubic_feet
MA 1993-03,"Northwest District American Alliance for Health, Physical Education, Recreation and Dance Records",2.00 Cubic_feet
MA 2003-20,"Northwest Maps (NARA,WHS) Photocopies",0.50 Cubic_feet
MA 2003-19,Northwest Maps (NARA) Photocopies,0.50 Cubic_feet
UA 2014-14,Northwest Nations Upward Bound Nations Records,2.00 Cubic_feet
MA 2012-38,Odessa High School Old Town Hall Interviews Transcript,0.25 Cubic_feet
UA 2017-35,Office of Alumni Relations Records,1.00 Folder
UA 2011-14,Office of Development Records,0.25 Cubic_feet
UA 2019-13,Office of Gift Administration collection,0.50 Cubic_feet
UA 2012-15,Office of Human Rights Access and Inclusion Photographs,0.25 Cubic_feet
UA 2011-06,Office of Institutional Research and Assessment Records,0.50 Cubic_feet
UA 2012-21,Office of Research and Economic Development Records,0.25 Cubic_feet
UA 2017-11,Office of the President Records,0.50 Cubic_feet
UA 1993-07,Officer Education Committee Minutes,0.50 Cubic_feet
MA 2014-47,Old Fort Peck Print,0.00 null
MA 2008-22,Oliver P. and Mabel Pring Papers,10.00 Cubic_feet
UA 2012-01,Olle Pellmyr Laboratory Records,4.00 Cubic_feet
MA 1992-36,Omer Brodie Papers,4.00 Cubic_feet
MA 1986-23,Omer H. Brodie Engineering Drawings,3.00 Cubic_feet
MA 2015-04,Oregon Territory Centennial,1.00 Volumes
MA 2019-20,Palouse Anthropology Oral History collections,0.25 Cubic_feet
MA 2016-57,Palouse Empire Science Fiction Association (PEFSA) Collection,1.00 Folder
MA 2016-40,Palouse Empire Science Fiction Association Collection (PEFSA),8.00 Cubic_feet
MA 2018-09,Panhandle Health District Bunker Hill Superfund Collection,18.70 Gigabytes
UA 2019-28,Panoramic Photos of Moscow and the University of Idaho,Oversized
UA 1990-32,Parking Committee Papers,0.50 Cubic_feet
MA 1989-35,Parking Committee Records,0.50 Cubic_feet
UA 1988-14,Parking Committee Records,0.50 Cubic_feet
UA 1990-12,Parking Committee Records,0.50 Cubic_feet
UA 1991-036,Parking Committee Records,0.50 Cubic_feet
UA 2017-27,Parma Research and Extension Center Weather Records,2.50 Cubic_feet
MA 1994-06,Partners of the Americas Records,0.50 Cubic_feet
MA 2005-02,Pat Cary Peek Papers,0.50 Cubic_feet
MA 2016-28,Pat Cary Peek Papers,2.00 Cubic_feet
MA 2019-29,Patrick O'Farrell Norwescon T-Shirt,0.50 Cubic_feet
MA 1994-30,Paul C. Conditt Papers,0.50 Cubic_feet
MA 1995-08,Paul C. Conditt Papers,0.50 Cubic_feet
MA 2016-07,Paul Conditt Maps,2.00 Cubic_feet
MA 1991-47,Paul Conditt Papers,0.50 Cubic_feet
MA 1997-39,Paul Conditt Papers,0.50 Cubic_feet
MA 2017-03,Paul Kliger Collection,6.00 Cubic_feet
MA 2019-33,Peggy Ward collection,3.00 Linear_feet
MA 2004-13,Peter P. Piekarski Papers,11.00 Cubic_feet
MA 2004-22,Peter P. Piekarski Papers,5.00 Cubic_feet
UA 1990-36,Photo Center Records,4.00 Cubic_feet
UA 1990-40,Photo Center Records,1.00 Cubic_feet
UA 2019-57,Photos of University Presidents,1.00 Folder
UA 1993-09,Physical Plant Kibbie Dome litigation,22.50 Cubic_feet
UA 1989-35,Plant and Soil Sciences Maps,2.50 Cubic_feet
UA 1997-23,"Plant, Soil, and Entomological Sciences Records",0.50 Cubic_feet
UA 2007-10,"Plant, Soil, and Entomological Sciences Records",11.00 Cubic_feet
UA 1992-15,"Plant, Soil, and Entomology Science Annual Reports",3.00 Cubic_feet
MA 2019-17,Pleiades Club records,0.25 Cubic Feet
MA 1994-33,PNLA Bibliography Committee Correspondence,0.50 Cubic_feet
MA 2018-55,Pole Blight Conference Photograph,1.00 Folder
UA 2019-25,Political Science photograph collection,1.00 Folder
MA 2015-13,Potlatch Corporation Aerial Photographs,16.00 Cubic_feet
MA 2009-30,Potlatch Corporation Records,57.00 Cubic_feet
UA 1994-06,President's Office (Zinser) Records,0.50 Cubic_feet
UA 2017-23,President's Office Commencement Photographs,1.00 Folder
MA 2014-32,President's Office Records,1.00 Cubic_feet
UA 1995-09,President's Office Records,36.00 Cubic_feet
UA 1999-14,President's Office Records,3.00 Cubic_feet
UA 1999-15,President's Office Records,4.50 Cubic_feet
UA 2000-11,President's Office Records,17.00 Cubic_feet
UA 2001-05,President's Office Records,4.00 Cubic_feet
UA 2001-07,President's Office Records,2.00 Cubic_feet
UA 2002-13,President's Office Records,9.00 Cubic_feet
UA 2002-19,President's Office Records,9.00 Cubic_feet
UA 2002-22,President's Office Records,14.00 Cubic_feet
UA 2003-06,President's Office Records,8.00 Cubic_feet
UA 2003-11,President's Office Records,15.00 Cubic_feet
UA 2004-05,President's Office Records,9.00 Cubic_feet
UA 2005-06,President's Office Records,19.00 Cubic_feet
UA 2006-01,President's Office Records,6.00 Cubic_feet
UA 2007-01,President's Office Records,1.00 Cubic_feet
UA 2008-10,President's Office Records,0.50 Cubic_feet
UA 2008-12,President's Office Records,1.00 Folder
UA 2011-27,President's Office Records,1.00 Cubic_feet
UA 2014-22,President's Office Records,2.00 Cubic_feet
UA 2017-04,President's Office Records,1.00 Cubic_feet
UA 2018-24,President's Office Records,0.50 Cubic_feet
UA 1992-25,Presidential Search Committee Records,0.50 Cubic_feet
UA 1991-40,Printing and Design Photographs,1.50 Cubic_feet
UA 2001-01,Printing and Design Photographs,2.00 Cubic_feet
UA 1998-03,Printing and Design Services Photographs,1.00 Cubic_feet
UA 2003-15,Printing and Design Services Photographs,1.00 Cubic_feet
MA 2007-04,Priscilla Wegars Papers,0.50 Cubic_feet
UA 1997-04A,Provost's Office Records,42.00 Cubic_feet
UA 1998-13,Provost's Office Records,6.00 Cubic_feet
UA 1999-02,Provost's Office Records,6.00 Cubic_feet
UA 2000-04,Provost's Office Records,21.00 Cubic_feet
UA 2002-12,Provost's Office Records,12.00 Cubic_feet
UA 2002-20,Provost's Office Records,10.50 Cubic_feet
MA 2018-71,Psychiana Certificate of Approval,1.00 Folder
UA 1987-17,Publications Deptartment Photographs,3.00 Cubic_feet
UA 1987-11,Publications Office Designs,2.50 Linear feet
UA 1987-14,Publications Photographs,0.50 Cubic_feet
UA 1989-10,Publications Photographs,1.00 Cubic_feet
UA 1999-05,"Publications Photographs, negatives",0.50 Cubic_feet
MA 1985-12,R. C. Dobson Papers,0.50 Cubic_feet
MA 2014-35,R. Havell and E. G. Dorsey Paintings,5.00 Cubic_feet
MA 1987-10,R. J. Beck Papers,1.00 Cubic_feet
UA 2017-01,R. L. Piemeisel Collection,6.00 Cubic_feet
UA 2017-06,R. L. Piemeisel Collection,3.00 Cubic_feet
UA 2019-05,R.L. Piemeisel collection,3.00 Cubic_feet
MA 2017-21,Rachael Paschal Osborn Papers,42.00 Cubic_feet
MA 1997-17,Rafe Gibbs Papers,10.00 Cubic_feet
MA 2000-18,Ralph S. Space Papers,2.00 Cubic_feet
MA 1986-17,Ralph W. Dawson Photographs,2.50 Linear feet
MA 2017-14,Randy Stapilus Papers,4.00 Cubic_feet
UA 2009-06,Records Center Records,17.00 Cubic_feet
UA 2011-12,Records Center Records,20.00 Cubic_feet
UA 2002-11,Recreation Management Leisure Experiences Papers,0.50 Cubic_feet
UA 2002-02,Registrar Records,0.50 Cubic_feet
UA 1999-25,Registrar's Office Committee Records,1.50 Linear feet
UA 1999-24,Registrar's Office House Group Membership Lists,3.00 Linear feet
UA 1990-37,Registrar's Office Records,1.00 Cubic_feet
UA 1994-05,Registrar's Office Records,0.50 Cubic_feet
UA 1996-12,Registrar's Office Records,1.00 Cubic_feet
UA 2008-18,Registrar's Office Records,2.00 Cubic_feet
MA 2000-29,Registrars Office Records,0.50 Cubic_feet
UA 1980-041,Research Council Records,17.00 Volumes
UA 1989-16,Research Office Records,2.00 Cubic_feet
UA 2000-05,Research Office Records,4.50 Cubic_feet
UA 2018-23,Reserve Officers Training Corps Records,492.00 Megabytes
UA 2011-04,Reserve Officers' Training Corps (ROTC) Records,1.00 Folder
UA 1995-12,Resource Recreation and Tourism Records,3.00 Cubic_feet
UA 2002-17,Richard C. Davis Papers,2.00 Cubic_feet
UA 2002-21,Richard C. Davis Papers,6.00 Cubic_feet
MA 2014-52,Richard D. Gibb Recordings,1.00 Cubic_feet
MA 2019-04,Richard Harrison Smith papers,20.00 Cubic_feet
MA 1990-36,Richard J. Beck Papers,0.50 Cubic_feet
MA 2018-72,Richard J. Naskali Collection,1.00 Cubic_feet
MA 2015-44,Richard Naskal Papers on UI Arboretum,1.00 Linear feet
MA 2002-29,Richard Naskali Papers,1.00 Cubic_feet
MA 2005-13,Richard Naskali Papers,4.00 Cubic_feet
MA 2015-39,Richard Naskali Papers on the UI Arboretum,40.00 Cubic_feet
MA 2014-48,River of No Return Wilderness Society Records,0.50 Cubic_feet
MA 1994-31,Rob McIntyre Papers,1.00 Cubic_feet
UA 2016-06,Robert A. Hibbs Papers,0.25 Linear feet
MA 2011-09,Robert and Shirley Strom Photographs,1.00 Cubic_feet
MA 1992-28,Robert Bruce Linderman Papers,6.00 Cubic_feet
UA 2015-38,Robert Church Day Photographs,1.00 Cubic_feet
MA 2002-27,Robert D. Harris Papers,1.00 Cubic_feet
MA 2007-31,Robert D. Harris Papers,1.20 Cubic_feet
MA 2014-27,Robert E. Ficken Collection,1.00 Volumes
MA 2009-12,Robert E. Higgins Photographic Prints,4.00 Cubic_feet
MA 2007-25,Robert E. Hosack Papers,12.00 Cubic_feet
MA 2008-27,Robert E. Hosack Papers,27.00 Cubic_feet
MA 2009-11,Robert E. Launhardt Papers,1.00 Cubic_feet
MA 2012-48,Robert E. McDole Collection,0.50 Cubic_feet
MA 2007-13,Robert E. Shreiber Photograph of Administration Building,0.25 Cubic_feet
MA 2014-05,Robert Holder Collection,0.50 Cubic_feet
MA 2003-10,Robert L. Stolz Papers,4.00 Cubic_feet
MA 2014-33,Robert McDole Photographs,1.00 Folder
MA 2008-06,Robert Otness Papers,Oversized
MA 2015-28,Robert Otness Papers,3.00 Cubic_feet
MA 2003-21,Robert Otness Postcard Collection,0.50 Cubic_feet
MA 2012-19,Robert P. Joy Photographs,0.25 Cubic_feet
MA 2017-18,Robert Sarles Collection,1.00 Cubic_feet
UA 2017-42,Robert Sarles Collection,1.00 Cubic_feet
MA 2008-38,Robert Strom Photographs,1.00 Cubic_feet
MA 2005-24,Robert Wing Papers,1.00 Cubic_feet
UA 2016-05,Robin Laurie Panoramic Photo of UI Campus,Oversized
MA 2018-22,Rocky Mountain Print Making Alliance Collection,7.50 Cubic Feet
MA 2007-19,Roderick Sprague (compiler) Papers,1.00 Linear feet
MA 2015-08,Roger Tory Peterson an Virginia Marie Peterson Audubon's Birds of America,0.00 null
MA 2002-28,Ron McFarland Papers,7.00 Cubic_feet
MA 2019-35,Ron McFarland papers,2.50 Cubic_feet
MA 2019-10,Ron Vietmeier collection,7.00 JPG
MA 2019-14,Ron Vietmeier collection,1.00 Folder
MA 2007-03,Ronald R. Watson Photographs,0.25 Cubic_feet
MA 2006-04,Roscoe D. Watson Photographs,0.50 Cubic_feet
MA 2005-17,Roscoe Watson Papers,12.00 Cubic_feet
MA 1992-10,Roy Williams Papers,0.50 Cubic_feet
MA 1995-03,Roy Williams Papers,5.00 Cubic_feet
MA 2018-53,Russell Chrysler Papers,1.00 Folder
MA 2001-10,Ruth Rhodes Winquist Scrapbook,0.50 Cubic_feet
UA 2013-05,Ruth Shane Collection,0.50 Cubic_feet
MA 2014-15,S. H. Hays Papers,0.50 Cubic_feet
MA 2012-40,S. M. Ghazanfar Papers,8.00 Cubic_feet
UA 1991-032,Sabbatical Leave Committe Records,0.50 Cubic_feet
UA 1995-18,Sabbatical Leave Committe Records,0.50 Cubic_feet
UA 2007-23,Sabbatical Leave Committee Minutes,1.00 Cubic_feet
UA 1989-17,Sabbatical Leave Committee Records,1.00 Cubic_feet
UA 1994-08,Sabbatical Leave Committee Records,1.00 Cubic_feet
UA 1996-13,Sabbatical Leave Committee Records,1.00 Cubic_feet
UA 1997-09,Sabbatical Leave Committee Records,0.50 Cubic_feet
UA 2000-14,Sabbatical Leave Committee Records,0.50 Cubic_feet
UA 1990-02,Sabbatical Leave Evaluation Committee Records,0.50 Cubic_feet
UA 2002-04,Sabbatical Leave Evaluation Committee Records,2.00 Cubic_feet
MA 2010-23,Samuel Culbertson Orr Papers,1.30 Cubic_feet
UA 2018-40,Samuel D. Hunter University of Idaho Commencement Speech,1.00 Folder
MA 2000-43,Sawtooth Society Clippings,0.25 Cubic_feet
UA 1998-06,School of Communications Tapes,1.00 Cubic_feet
UA 2009-09,School of Forestry Maps,Oversized
UA 2003-18,School of Journalism and Mass Media Records,3.00 Cubic_feet
UA 2014-02,School of Journalism and Mass Media Records,5.00 Cubic_feet
MA 2017-37,Science Fiction Pulp Covers,1.00 Folder
MA 2016-19,Scott Reed Papers,18.00 Cubic_feet
MA 2016-09,Selway Bitterroot Wilderness History Project,1.00 Cubic_feet
MA 2008-45,Senator Larry E. Craig Papers,37.00 Cubic_feet
MA 2008-46,Senator Larry E. Craig Papers,1.00 Cubic_feet
MA 2009-01,Senator Larry E. Craig Papers,1.00 Cubic_feet
MA 2009-02,Senator Larry E. Craig Papers,1.00 Cubic_feet
MA 2009-04,Senator Larry E. Craig Papers,1134.00 Cubic_feet
MA 1992-32,Seventh-day Adventist Church Records,0.50 Cubic_feet
UA 2010-10,Sheldon A. Vincenti Papers,17.00 Cubic_feet
MA 1988-09,Shirley Strom Correspondence,0.50 Cubic_feet
MA 2014-17,"Sierra Club, Northern Rockies Chapter Records",1.00 Cubic_feet
MA 2015-32,Sigma Lambda Alpha Records,0.50 Cubic_feet
MA 1987-15,Sigma Xi Records,1.00 Cubic_feet
MA 2014-49,Snake River and Columbia River Aerial Photographs,1.50 Cubic_feet
UA 1980-042,Social Science Coordinator Council Records,1.00 Volumes
MA 2008-15b,Southwest Idaho Library Association Records,2.00 Folder
UA 2011-31,Special Collections and Archives,1.25 Cubic_feet
UA 2016-37,Special Collections and Archives Collection,1.00 Cubic_feet
UA 2012-11,Special Collections and Archives Collection Records,1.00 Cubic_feet
UA 2016-12,Special Collections and Archives Gifts Acknowledgements and Collections Operations Records,0.50 Cubic_feet
UA 2011-28,Special Collections and Archives Records,0.25 Cubic_feet
UA 2011-29,Special Collections and Archives Records,1.00 Cubic_feet
UA 2011-30,Special Collections and Archives Records,8.00 Cubic_feet
MA 1985-18,St. Mary's Church Parish Council Minutes,0.50 Cubic_feet
UA 1991-018,Staff Affairs Committee Records,0.50 Cubic_feet
UA 1998-04,Staff Affairs Recordings,0.50 Cubic_feet
MA 2003-30,State Maps,6.00 Cubic_feet
MA 2011-17,Steve Cooke Papers,1.50 Cubic_feet
MA 2011-18,Steve Cooke Papers,2.00 Cubic_feet
UA 2009-01,Steven B. Daley-Laursen Speech,1.00 Folder
UA 1985-10,Student Advisors Service Records,2.50 Cubic_feet
UA 1990-13,Student Advisory Services Records,2.00 Cubic_feet
UA 1991-034,Student Advisory Services Records,1.00 Cubic_feet
UA 1995-04,Student Advisory Services Records,1.00 Cubic_feet
UA 1991-037,Student Affairs Records,1.50 Cubic_feet
UA 1996-09,Student Financial Aid Services Records,0.50 Cubic_feet
UA 2002-01,Student Home Economics Association Records,0.75 Cubic_feet
MA 2018-07,Student Life Slides,1.00 Folder
UA 2019-16,Student Orientation Office photograph collection,1.00 Folder
UA 1989-26,Student Services Recordings,0.50 Cubic_feet
UA 1989-21,Student Services Records,0.50 Cubic_feet
UA 2019-08,Student Union Building records,1.00 Cubic_feet
UA 2008-03,Student Union Contracts and Construction Agreements,1.00 Cubic_feet
MA 2019-51,Sue Lincoln collection,1.00 Folder
MA 1999-09,Sunshine Mine Fire Data Records,7.00 Cubic_feet
MA 2011-39,Sunshine Mining Company Boardinghouse blanket,Oversized
MA 2018-58,Sunshine Mining Company Papers,0.50 Cubic_feet
MA 1994-07,Sydney Duncombe Papers,1.00 Cubic_feet
MA 2018-29,T.N. Barnard Photograph of Wallace,0.50 Linear_feet
MA 2003-14,Targhee Hall Scrapbook,1.00 Cubic_feet
MA 1992-25,Tau Kappa Epsilon Records,1.00 Cubic_feet
MA 2019-55,Taylor Ranch Proposal,1.00 Folder
UA 2018-14,Taylor Ranch Records,0.50 Cubic_feet
UA 2019-29,Taylor Ranch Records,1.00 Folder
MA 2015-16,Terra Enterprises Records,1.00 Folder
MA 2005-18,Terry Abraham Papers,19.00 Cubic_feet
MA 2003-27,Terry Armstrong Papers,3.00 Cubic_feet
UA 2012-17,Terry Armstrong Papers,5.00 Cubic_feet
UA 2017-41,Terry Armstrong Photographs of Kibbie Dome Construction,1.00 Cubic_feet
UA 2017-14,The Argonaut Digital Photographs,270.00 Gigabytes
MA 2015-18,The Civilian Conservation Corps: Case Study of the Fort George Wright District and Camp F-188 by John Tappan Menard,1.00 Folder
MA 2020-11,"The Disciples of Christ and the Economic Development of ""Tri-Rivers"" paper",1.00 Folder
