title,subject,lc,issn,e-issn,platform,publisher,cost
Australian Journal of Earth Sciences,Geology,Earth sciences--Australia--Periodicals   Earth sciences--Periodicals   Geology--Australia--Periodicals  and others,0812-0099,1440-0952,Taylor & Francis,Taylor & Francis,$262.25 
Australian Journal of International Affairs,Political Science,Internationale politiek   World politics--Periodicals   Diplomatic relations  and others,1035-7718,1465-332X,Taylor & Francis,Routledge,$51.67 
Babel,Languages,Translating and interpreting--Periodicals   Translators--Periodicals   Translating and interpreting  and others,0521-9744,1569-9668,ingentaconnect,John Benjamins Publishing Company,$73.68 
Basic & Applied Social Psychology,Psychology,Social psychology--Periodicals   Social psychology   Social Psychology  and others,0197-3533,1532-4834,Taylor & Francis,Routledge,$41.78 
Bernoulli,Math,Mathematical statistics--Periodicals   Probabilities--Periodicals   Mathematical statistics  and others,1350-7265,1573-9759,Project Euclid,Bernoulli Society for Mathematical Statistics and Probability,$55.38 
Biochemical Journal,Chemistry,Biochemistry--Periodicals   Biochemie   Biochemistry  and others,0264-6021,1470-8728,HighWire Press,Portland Press Ltd,$64.95 
Biochemistry & Cell Biology,Biology,Biochemistry--Periodicals   Cytology--Periodicals   Biochimie--Périodiques  and others,0829-8211,1208-6002,Canadian Science Publishing,NRC Research Press,$115.39 
Biological Journal of the Linnean Society,Biology,Biology--Periodicals   Evolution (Biology)--Periodicals   Biologie--Périodiques  and others,0024-4066,1095-8312,Oxford Journals,Oxford University Press,$41.41 
Black Scholar,Cultural Studies,African Americans--Periodicals   African Americans--Race identity--Periodicals   Noirs américains--Périodiques  and others,0006-4246,2162-5387,Taylor & Francis,Routledge,$43.17 
British Journal for the Philosophy of Science,Philosophy,Science--Philosophy--Periodicals   Philosophy--Periodicals   Science--Periodicals  and others,0007-0882,1464-3537,Oxford Journals,Oxford University Press,$71.79 
British Journal of Political Science,Political Science,Political science--Periodicals   Political science   Politik  and others,0007-1234,1469-2112,Cambridge Core,Cambridge University Press,$54.17 
Bulletin of Entomological Research,Entomology,Entomology--Periodicals   Entomologie--Recherche--Pe?riodiques   Entomologie--Pe?riodiques  and others,0007-4853,1475-2670,Cambridge Core,Cambridge University Press,$69.52 
Bulletin of Hispanic Studies,Languages,Spanish philology--Periodicals   Portuguese philology--Periodicals   Spain--Civilization--Periodicals  and others,1475-3839,1478-3398,Liverpool University Press,Liverpool University Press,$534.50 
Bulletin of the Australian Mathematical Society,Math,"Mathematics--Periodicals   Mathematics   Mathematics--Societies, etc  and others",0004-9727,1755-1633,Cambridge Core,Cambridge University Press,$280.89 
Bulletin of the Menninger Clinic,Psychology,Psychiatrie--Périodiques   Mental Disorders--periodicals   Psychiatry--periodicals  and others,0025-9284,1943-2828,Guilford Publications Inc.,Guilford Publications Inc.,"$2,628.00 "
Business History Review,Business,Business--Periodicals   Business--History--Periodicals   1510 subdisciplines of history ,0007-6805,2044-768X,Cambridge Core,Cambridge University Press,$98.00 
Canadian Journal of Political Science / Revue canadienne de science politique,Political Science,Political science--Periodicals ,0008-4239,1744-9324,Cambridge Core,Cambridge University Press,$42.22 
Central European History,History,"Europe, Central--History--Periodicals   Europe centrale--Histoire--Périodiques   Europe, Central  and others",0008-9389,1569-1616,Cambridge Core,Cambridge University Press,$145.50 
Church History,History,Église catholique   Church history--Periodicals   Église--Histoire--Périodiques  and others,0009-6407,1755-2613,Cambridge Core,Cambridge University Press,$394.00 
Circulation Research,Medicine and Health,Cardiovascular system--Periodicals   Blood--Circulation--Periodicals   Cardiovascular System  and others,0009-7330,1524-4571,Ovid,Lippincott Williams & Wilkins (LWW),"$1,195.00 "
Classical Quarterly,Classics,Classical philology--Periodicals ,0009-8388,1471-6844,Cambridge Core,Cambridge University Press,$88.00 
Classical Review,Classics,Classical philology--Periodicals   Classical philology--Bibliography--Periodicals   Classical philology  and others,0009-840X,1464-3561,Cambridge Core,Cambridge University Press,$48.89 
Combinatorics Probability and Computing,Computer Science,Combinatorial analysis--Periodicals   Probabilities--Periodicals   Computer science--Periodicals  and others,0963-5483,1469-2163,Cambridge Core,Cambridge University Press,$511.43 
Comparative studies in society and history.,History,Social sciences--Periodicals   History--Periodicals   Social sciences  and others,0010-4175,1475-2999,Cambridge Core,Cambridge University Press,$87.08 
Compendex - EV ,Engineering,,Database,,,,$54.66 
Computer Journal,Computer Science,Computers--Periodicals   Electronic data processing--Periodicals   Information storage and retrieval systems--Periodicals  and others,0010-4620,1460-2067,Oxford Journals,Oxford University Press,$91.69 
Contemporary French Civilization,Languages,"French language--Foreign countries--Periodicals   Civilization, Modern--French influences--Periodicals   France--Civilization--20th century--Periodicals  and others",0147-9156,2044-396X,Liverpool University Press,Liverpool University Press,$108.50 
Developmental Neuroscience,Medicine and Health,Nervous system--Growth--Periodicals   Neurologie--Périodiques   Système nerveux--Croissance--Périodiques  and others,0378-5866,1421-9859,karger.com,Karger,$442.11 
Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,Philosophy,Dialogue (Periodical) Indexes   Philosophy--Periodicals   Philosophie--Pe?riodiques  and others,0012-2173,1759-0949,Cambridge Core,Cambridge University Press,$80.36 
Duke Mathematical Journal,Math,Mathematics--Periodicals ,0012-7094,1547-7398,Project Euclid,Duke University Press,$87.78 
Early Music History,Music,Music--History and criticism--Periodicals   Electronic journals ,0261-1279,1474-0559,Cambridge Core,Cambridge University Press,$281.00 
Earthquake Spectra,"Engineering, Civil",Earthquake engineering--Periodicals   Earthquake engineering   Periodicals ,8755-2930,1944-8201,Allen Press Pinnacle,Earthquake Engineering Research Institute,$43.93 
Education,Education,Education--Periodicals   Onderwijs   Education  and others,0013-1172,,ingentaconnect,Project Innovation,$157.00 
eHRAF Archaeology ,Archaeology,,Database,,,,$111.88 
Electric Power Components and Systems,"Engineering, Electrical",Electric machinery--Periodicals   Electric machinery   Electronic journals  and others,1532-5008,1532-5016,Taylor & Francis,Taylor & Francis,$281.33 
English Studies,Literature,English philology--Periodicals   English literature--Study and teaching--Periodicals   Philologie anglaise--Périodiques  and others,0013-838X,1744-4217,Taylor & Francis,Routledge,$87.94 
Environmental Chemistry,Chemistry,Environmental chemistry--Periodicals   Environmental chemistry   Australian  and others,1448-2517,1449-8979,CSIRO,None,$71.68 
Essays in Criticism,Literature,English literature--History and criticism--Periodicals   Literature--History and criticism--Periodicals   Criticism--Periodicals  and others,0014-0856,1471-6852,Oxford Journals,Oxford University Press,$50.06 
Ethnos,Archaeology,Ethnology--Periodicals   Archaeology--Periodicals   Archaeology  and others,0014-1844,1469-588X,Taylor & Francis,Routledge,$125.76 
Evolutionary Computation,Computer Science,Genetic algorithms--Periodicals   Artificial intelligence--Periodicals   Evolutionary computation--Periodicals  and others,1063-6560,1530-9304,MIT Press Journals,MIT Press,$69.14 
Exemplaria,Literature,"Literature, Medieval--History and criticism--Periodicals   European literature--Renaissance, 1450-1600--History and criticism--Periodicals   Middle Ages--Periodicals  and others",1041-2573,1753-3074,Taylor & Francis,Routledge,$82.00 
Experimental Agriculture,Agriculture ,Electronic journals   Agriculture--Periodicals   Agriculture--Experimentation--Periodicals ,0014-4797,1469-4441,Cambridge Core,Cambridge University Press,$108.60 
Exploration Geophysics,Physics,Geophysics--Periodicals   Prospecting--Geophysical methods--Periodicals   Geophysics  and others,0812-3985,1834-7533,CSIRO,None,$181.33 
Folklore,Folklore,Folklore--Periodicals   Manners and customs--Periodicals   Folklore  and others,0015-587X,1469-8315,Taylor & Francis,Routledge,$194.25 
Gale - 19th C Lit Crit ,English,,Database,,,,$277.88 
Gale - 20th C Lit Crit ,English,,Database,,,,$926.25 
Gale - Contemporary Lit Crit ,English,,Database,,,,$57.93 
Gale - Literature Resource Center ,English,,Database,,,,$43.75 
Geocarto International,GIS,Remote sensing--Periodicals   Geographic information systems--Periodicals   Télédétection--Périodiques  and others,1010-6049,1752-0762,Taylor & Francis,Taylor & Francis,$47.58 
Germanic Review,Languages,Germanic philology--Periodicals   Philologie germanique--Périodiques   Germanic philology  and others,0016-8890,1930-6962,Taylor & Francis,Routledge,$131.56 
Government & Opposition,Political Science,Political science--Periodicals ,0017-257X,1477-7053,Cambridge Core,Cambridge University Press,$110.57 
Greece & Rome,Classics,Classical antiquities--Periodicals   Classical philology--Periodicals   Greek literature--Periodicals  and others,0017-3835,1477-4550,Cambridge Core,Cambridge University Press,$75.71 
Grey Room,Architecture,Architecture and state--Periodicals   Architecture and society--Periodicals   Art--Political aspects--Periodicals  and others,1526-3819,1536-0105,MIT Press Journals,MIT Press,$86.29 
Harvard theological Review,Theology,Theology--Periodicals  theology   Periodicals  and others,0017-8160,1475-4517,Cambridge Core,Cambridge University Press,$194.67 
Hermes,Classics,Classical philology--Periodicals   Classical literature--Periodicals   Classical literature  and others,0018-0777,,ingentaconnect,Franz Steiner Verlag,$482.00 
Historical Journal,History,History--Periodicals   Great Britain--History--Periodicals   Histoire--Périodiques  and others,0018-246X,1469-5103,Cambridge Core,Cambridge University Press,$109.50 
Historical Methods,History,Social sciences--Periodicals   Social sciences   Onderzoeksmethoden  and others,0161-5440,1940-1906,Taylor & Francis,Routledge,$119.64 
History of Photography,Photography,Photography--History--Periodicals ,0308-7298,2150-7295,Taylor & Francis,Routledge,$65.88 
Holzforschung (hfsg),Chemistry,Wood--Periodicals   Wood--Microbiology--Periodicals   Wood--Chemistry--Periodicals ,0018-3830,1437-434X,De Gruyter Online,De Gruyter,$88.70 
Illinois Journal of Mathematics,Math,Mathematics--Periodicals   Electronic journals ,0019-2082,1945-6581,Project Euclid,University of Illinois at Urbana-Champaign Department of Mathematics,$153.33 
Inquiry,Philosophy,Philosophy--Periodicals   Social sciences--Philosophy--Periodicals   Social Sciences  and others,0020-174X,1502-3923,Taylor & Francis,Routledge,$140.40 
Interfaces,Business,Management--Periodicals ,0092-2102,1526-551X,INFORMS PubsOnline,INFORMS,$83.00 
International History Review,History,History--Periodicals   Electronic journals ,0707-5332,1949-6540,Taylor & Francis,Routledge,$54.59 
International Journal of Experimental and Computational Biomechanics,Medicine and Health,Human mechanics--Periodicals   Biomechanics--Computer simulation--Periodicals   Biomechanics--Methodology--Periodicals  and others,1755-8735,1755-8743,Inderscience Publishers,Inderscience Publishers,$123.67 
International Journal of Geographical Information Science,Geography,Geography--Data processing--Periodicals   Information storage and retrieval systems--Periodicals   Géomatique--Périodiques  and others,1365-8816,1362-3087,Taylor & Francis,Taylor & Francis,$42.84 
International Journal of Group Psychotherapy,Psychology,"Group psychotherapy--Periodicals   Psychotherapy, Group   Psychothe?rapie de groupe--Pe?riodiques  and others",0020-7284,1943-2836,Taylor & Francis,Routledge,$45.50 
"International Journal of Mining, Reclamation and Environment",Mining,Strip mining--Periodicals   Strip mining--Environmental aspects--Periodicals   Strip mining  and others,1748-0930,1748-0949,Taylor & Francis,Taylor & Francis,$183.50 
International Journal of River Basin Management,Water Conservation,Watershed management--Periodicals   Watersheds--Periodicals   Water resources development--Periodicals  and others,1571-5124,1814-2060,Taylor & Francis,Taylor & Francis,$80.63 
"IntJElec Combo (International Journal of Electronics, International Journal of Electronics Letters)","Engineering, Electrical",,0020-7217 and 2168-1724,1362-3060 and 2168-1732,Taylor & Francis,Taylor & Francis,$671.00 
Israel Journal of Plant Sciences,Plant Science,Botany--Israel--Periodicals   Plants--Israel--Periodicals   Botany--Periodicals  and others,0792-9978,2223-8980,BOPI,Brill,$52.85 
Iter ,History,,Database,,,,$156.00 
JMR Journal of Marketing Research,Business,Marketing research--Periodicals   Marketing research   Marketing  and others,0022-2437,1547-7193,Allen Press Pinnacle,American Marketing Association,$70.00 
Journal of African History,History,Africa--History--Periodicals   Africa   History  and others,0021-8537,1469-5138,Cambridge Core,Cambridge University Press,$134.86 
Journal of Agricultural Science,Agriculture ,Agriculture--Periodicals   Electronic journals ,0021-8596,1469-5146,Cambridge Core,Cambridge University Press,$58.65 
Journal of Algebraic Geometry,Math,"Geometry, Algebraic--Periodicals ",1056-3911,1534-7486,AMS Website,University Press,$585.33 
Journal of Applied Probability,Math,Mathematical statistics--Periodicals   Mathematical models--Periodicals   Probabilities--Periodicals  and others,0021-9002,1475-6072,Project Euclid,Applied Probability Trust,$89.41 
Journal of Applied School Psychology,Education,"Special education--Periodicals   Special education   Education, Special--Periodicals  and others",1537-7903,1537-7911,Taylor & Francis,Routledge,$67.30 
Journal of Applied Water Engineering and Research,"Engineering, Civil",Water-supply engineering--Periodicals   Water-supply engineering   Periodicals  and others,2324-9676,2324-9676,Taylor & Francis,Taylor & Francis,$171.33 
Journal of Biochemistry,Chemistry,Biochimie--Périodiques   Biochemistry   Biochemie  and others,0021-924X,1756-2651,Oxford Journals,Oxford University Press,$44.91 
Journal of Child Language,Languages,Children--Language--Periodicals   Children--Language   Kindertaal  and others,0305-0009,1469-7602,Cambridge Core,Cambridge University Press,$96.88 
Journal of Clinical & Experimental Neuropsychology,Psychology,Neuropsychology--Periodicals   Psychophysiology--Periodicals   Psychophysiologie--Pe?riodiques  and others,1380-3395,1744-411X,Taylor & Francis,Routledge,$170.84 
Journal of Dairy Research,Animal Science,Dairying--Periodicals   Dairy Products   Industrie laitie?re--Recherche--Pe?riodiques  and others,0022-0299,1469-7629,Cambridge Core,Cambridge University Press,$41.06 
Journal of Development Studies,Economics,Economic development--Periodicals   Economic history--1945---Periodicals   De?veloppement e?conomique--Pe?riodiques  and others,0022-0388,1743-9140,Taylor & Francis,Routledge,$55.92 
Journal of Ecclesiastical History,History,Church history--Periodicals   E?glise--Histoire--Pe?riodiques   Church history  and others,0022-0469,1469-7637,Cambridge Core,Cambridge University Press,$76.11 
Journal of Engineering Design,Engineering,Engineering design--Periodicals   Industrial design--Periodicals   Industrial engineering--Periodicals ,0954-4828,1466-1837,Taylor & Francis,Taylor & Francis,$306.49 
Journal of Experimental Medicine,Medicine and Health,"Medicine--Periodicals   Medicine, Experimental--Periodicals   Medicine, Experimental  and others",0022-1007,1540-9538,HighWire Press,Rockefeller University Press,$62.39 
Journal of General Psychology,Psychology,Psychologie--Périodiques   Psychologie   Psychology--Periodicals  and others,0022-1309,1940-0888,Taylor & Francis,Routledge,$56.71 
Journal of Genetic Psychology,Education,Education--Periodicals   Psychology--Periodicals   Child psychology--Periodicals  and others,0022-1325,1940-0896,Taylor & Francis,Routledge,$66.43 
Journal of Horticultural Science and Biotechnology,Plant Science,Horticulture--Periodicals   Plant biotechnology--Periodicals   Biotechnology--Periodicals  and others,1462-0316,2380-4084,Taylor & Francis,Taylor & Francis,$46.41 
Journal of Latin American Studies,Cultural Studies,Latin America--Periodicals   Latin America   Landeskunde  and others,0022-216X,1469-767X,Cambridge Core,Cambridge University Press,$85.93 
Journal of Library Administration,Library Science,Library administration--Periodicals   Library Administration   Bibliothe?ques--Administration--Pe?riodiques  and others,0193-0826,1540-3564,Taylor & Francis,Routledge,$51.70 
Journal of Linguistics,Languages,Linguistics--Periodicals   Linguistique--Périodiques   Linguistics  and others,0022-2267,1469-7742,Cambridge Core,Cambridge University Press,$155.20 
Journal of Media Ethics,Journalism,Mass media--Moral and ethical aspects--Periodicals   Journalistic ethics--Periodicals   Journalistic ethics  and others,2373-6992,2373-700X,Taylor & Francis,Routledge,$85.23 
Journal of Medical Microbiology,Biology,Microbiologie--Périodiques   Protozoologie--Périodiques   Medical microbiology  and others,0022-2615,1473-5644,SGM,Society for General Microbiology,$62.98 
Journal of North Carolina Academy of Science,Science,Natural history--Periodicals   Science--Periodicals   Natural history  and others,2167-5872,2167-5880,Allen Press Pinnacle,North Carolina Academy of Science,$440.00 
Journal of Philosophy,Philosophy,Philosophy--Periodicals   Psychology--Periodicals   Philosophie--Pe?riodiques  and others,0022-362X,1939-8549,PDC Collection,Journal of Philosophy Inc. (subscribed),$91.11 
Journal of Plant Nutrition,Plant Science,Plants--Nutrition--Periodicals   Plants--Effect of minerals on--Periodicals   Deficiency diseases in plants--Periodicals ,0190-4167,1532-4087,Taylor & Francis,Taylor & Francis,$71.74 
Journal of Postcolonial Writing,Literature,"English literature--History and criticism--Periodicals   Literature, Modern--History and criticism--Periodicals   Postcolonialism in literature--Periodicals  and others",1744-9855,1744-9863,Taylor & Francis,Routledge,$63.72 
Journal of Southeast Asian Studies,History,Histoire   Southeast Asia--Periodicals   Asie du Sud-Est  and others,0022-4634,1474-0680,Cambridge Core,Cambridge University Press,$62.92 
Journal of Speech Language and Hearing Research,Medicine and Health,Speech disorders--Periodicals   Speech--Periodicals   Hearing--Periodicals  and others,1092-4388,1558-9102,Silverchair,American Speech-Language-Hearing Association,$76.24 
Journal of Survey Statistics and Methodology,Math,Social surveys--Periodicals   Surveys--Methodology--Periodicals   Surveys--Statistical methods--Periodicals  and others,2325-0984,2325-0992,Oxford Journals,Oxford University Press,$83.25 
Journal of Textile Institute,Clothing and Dress,Textile industry--Periodicals   Textile industry--Management--Periodicals   Textile fabrics--Marketing--Periodicals  and others,0040-5000,1754-2340,Taylor & Francis,Taylor & Francis,$261.17 
Journal of the American Mathematical Society,Math,Mathematics--Periodicals   Mathematics   Mathe?matique  and others,0894-0347,1088-6834,AMS Website,American Mathematical Society,$124.80 
Journal of the Australian Mathematical Society,Math,Mathematics--Periodicals   Mathematics   matematika--periodika  and others,0004-9735,,Cambridge Core,Cambridge University Press,$503.33 
Journal of the IEST,Engineering,Environmental engineering--Periodicals   Electronic journals ,1098-4321,1557-2196,Allen Press Pinnacle,Institute of Environmental Sciences and Technology,$560.00 
Journal of the Society for American Music,Music,Music--United States--Periodicals   Music--Periodicals   Music  and others,1752-1963,1752-1971,Cambridge Core,Cambridge University Press,$136.50 
Journal of Toxicology & Environmental Health: Part A,Medicine and Health,Toxicology--Periodicals   Environmental health--Periodicals   Environmental Pollutants--adverse effects  and others,1528-7394,1087-2620,Taylor & Francis,Taylor & Francis,$286.07 
Journal of Toxicology & Environmental Health: Part B,Medicine and Health,Toxicology--Periodicals   Environmental toxicology--Periodicals   Environmental health--Periodicals  and others,1093-7404,1521-6950,Taylor & Francis,Taylor & Francis,$75.12 
KIVA,Anthropology,"Southwest, New--Antiquities--Periodicals   Anthropology--Southwest, New--Periodicals   Southwest, New--History--Periodicals  and others",0023-1940,2051-6177,Taylor & Francis,Routledge,$182.00 
Labor History,Economics,Labor--United States--History--Periodicals   Labor movement--United States--Periodicals   Labor unions--United States--History--Periodicals  and others,0023-656X,1469-9702,Taylor & Francis,Routledge,$160.47 
Landscape Research,Landscape Architecture,Landscapes--Periodicals   Land use--Planning--Periodicals   Land use--Planning  and others,0142-6397,1469-9710,Taylor & Francis,Routledge,$48.53 
Leisure Studies,Leisure and Recreation,Leisure--Periodicals   Recreation--Periodicals   Loisir--Recherche--Pe?riodiques  and others,0261-4367,1466-4496,Taylor & Francis,Routledge,$40.37 
Management Science,Business,HW_MM   Management science--Periodicals ,0025-1909,1526-5501,INFORMS PubsOnline,INFORMS,$44.33 
Mark Twain Annual,Literature,"Twain, Mark,--1835-1910--Periodicals   Twain, Mark,--1835-1910--Criticism and interpretation--Periodicals   Twain, Mark,--1835-1910--Study and teaching--Periodicals  and others",1553-0981,1756-2597,Ithaka,Penn State University Press,$84.00 
Michigan Mathematical Journal,Math,Mathematics--Periodicals   Mathe?matiques--Pe?riodiques   Mathematics  and others,0026-2285,1945-2365,Project Euclid,University of Michigan Department of Mathematics,$143.33 
Middle Eastern Studies,Cultural Studies,"Arts and Humanities--General and Others   Social Sciences--Developmental Issues & Socioeconomic Studies   Social Sciences--Foreign Policy, Defense and Internal Security  and others",0026-3206,1743-7881,Taylor & Francis,Routledge,$124.56 
Military Balance,Military Science,Armed Forces--Periodicals   Forces armées--Périodiques   Armed Forces  and others,0459-7222,1479-9022,Taylor & Francis,Routledge,$425.33 
Modern Asian Studies,Cultural Studies,Asia--Periodicals   Asie--Périodiques   Asia  and others,0026-749X,1469-8099,Cambridge Core,Cambridge University Press,$327.20 
Molecular Membrane Biology,Biology,Membranes (Biology)--Periodicals   Biochemistry--Periodicals   Biochemistry  and others,0968-7688,1464-5203,Taylor & Francis,Taylor & Francis,"$1,899.75 "
Monist,Philosophy,Philosophy--Periodicals   Philosophie--Périodiques   Philosophy  and others,0026-9662,2153-3601,Oxford Journals,Oxford University Press,$42.91 
Nagoya Mathematical Journal,Math,Mathematics--Periodicals   Mathe?matiques--Pe?riodiques   Mathematics  and others,0027-7630,2152-6842,Project Euclid,Duke University Press,$71.43 
Nature Cell Biology,Biology,Cytology--Periodicals   Cytologie--Périodiques   Cellules--Périodiques  and others,1465-7392,1476-4679,nature.com,Nature Publishing Group,$60.35 
Nature Plants,Plant Science,Plants--Periodicals. Plant molecular biology--Periodicals. Plant physiology--Periodicals.and others,2055-026X,2055-0278,nature.com,Nature Publishing Group,$68.57 
Nineteenth-century music review.,Music,Music--19th century--Periodicals   Musique--19e siècle--Périodiques   Music  and others,1479-4098,2044-8414,Cambridge Core,Cambridge University Press,$313.00 
Organic Preparations and Procedures International,Chemistry,Organic compounds--Synthesis--Periodicals ,0030-4948,1945-5453,Taylor & Francis,Taylor & Francis,$42.29 
Oxford Art ,Art,,Database,,,,$50.36 
Oxford Economic Papers,Economics,Economics--Periodicals   Economics   Periodicals  and others,0030-7653,1464-3812,Oxford Journals,Oxford University Press,$86.84 
Pacific Affairs,Political Science,Pan-Pacific relations--Periodicals   Relations panpacifiques--Périodiques   Pan-Pacific relations  and others,0030-851X,1715-3379,ingentaconnect,"Pacific Affairs, a division of the University of British Columbia",$92.31 
Parasitology,Medicine and Health,Parasitology--Periodicals   Parasitic Diseases   Parasitologie--Pe?riodiques  and others,0031-1820,1469-8161,Cambridge Core,Cambridge University Press,$86.96 
Parliamentary Affairs,Political Science,Great Britain--Parliament--Periodicals   Grande-Bretagne--Parliament--Pe?riodiques   Great Britain--Parliament  and others,0031-2290,1460-2482,Oxford Journals,Oxford University Press,$54.21 
Philosophical Quarterly,Philosophy,Philosophy--Periodicals   Philosophy   Philosophie  and others,0031-8094,1467-9213,Oxford Journals,Oxford University Press,$156.25 
Population Studies,Demography,Demography--Periodicals   Population--Periodicals   Population  and others,0032-4728,1477-4747,Taylor & Francis,Routledge,$65.27 
Proceedings of the American Mathematical Society,Math,Mathematics--Periodicals   Mathe?matiques--Pe?riodiques   Mathematics  and others,0002-9939,1088-6826,AMS Website,American Mathematical Society,$60.40 
Proceedings of the Edinburgh Mathematical Society,Math,Mathematics--Periodicals   Mathe?matiques--Pe?riodiques   Mathematics  and others,0013-0915,1464-3839,Cambridge Core,Cambridge University Press,$552.00 
Psychiatry,Medicine and Health,Psychiatry   Psychiatry--Periodicals   Periodicals ,0033-2747,1943-281X,Taylor & Francis,Routledge,$199.47 
Psychoanalytic Review,Psychology,Psychology--Periodicals   Psychoanalysis--Periodicals   Psychoanalysis  and others,0033-2836,1943-3301,Guilford Publications Inc.,Guilford Publications Inc.,$69.45 
Quarterly Journal of Mathematics,Math,Mathematics--Periodicals ,0033-5606,1464-3847,Oxford Journals,Oxford University Press,"$1,694.00 "
Quarterly of Applied Mathematics,Math,Mathematics--Periodicals   Mathe?matiques--Pe?riodiques ,0033-569X,1552-4485,AMS Website,Brown University,$58.46 
Radiochimica Acta (ract),Chemistry,Radiochemistry--Periodicals   Radiochemie ,0033-8230,2193-3405,De Gruyter Online,De Gruyter,$103.12 
Reproduction,Biology,"Human reproduction--Periodicals   Fertility, Human--Periodicals   Reproduction--Periodicals  and others",1470-1626,1741-7899,HighWire Press,"Society for Reproduction and Fertility, BioScientifica",$47.34 
Research in Mathematics Education,Math,Mathematics--Study and teaching--Periodicals   Mathematics--Study and teaching   Electronic journals  and others,1479-4802,1754-0178,Taylor & Francis,Routledge,$110.40 
Research in Phenomenology,Education,Phenomenology--Periodicals   Phénoménologie--Collections   Phenomenology  and others,0085-5553,1569-1640,BOPI,Brill,$116.86 
Review of English Studies,Literature,English literature--History and criticism--Periodicals   English literature   Electronic journals  and others,0034-6551,1471-6968,Oxford Journals,Oxford University Press,$70.06 
Review: Literature and Arts of the Americas,Cultural Studies,"Latin America--Civilization--1948---Periodicals. Arts, Latin American--Periodicals. Latin American literature--Periodicals. and others",0890-5762,1743-0666,Taylor & Francis,Routledge,$68.70 
"RHS Pkg - Royal Historical Society (Camden Fifth Series, Transactions of the Royal Historical Society) ",History,, 0960-1163 and 0080-4401,1478-5110 and 1474-0648,Cambridge Core,Cambridge University Press,$182.00 
Rocks & Minerals,Geology,Mineralogy--Periodicals   Mineralogy   Periodicals ,0035-7529,1940-1191,Taylor & Francis,Taylor & Francis,$130.50 
Southern Communication Journal,Communication,Oral communication--Periodicals   Oral communication   Periodicals  and others,1041-794X,1930-3203,Taylor & Francis,Routledge,$53.85 
Synthetic Communications,Chemistry,"Organic compounds--Synthesis--Periodicals   Chemistry, Organic   Synthesis ",0039-7911,1532-2432,Taylor & Francis,Taylor & Francis,$62.18 
Technical Communication,Communication,Technical writing--Periodicals   Rédaction technique--Périodiques   Technical writing  and others,0049-3155,1938-369X,ingentaconnect,Society for Technical Communication,$64.71 
Tempo,Music,Music--Periodicals   Music--20th century--Periodicals   Music--21st century--Periodicals ,0040-2982,1478-2286,Cambridge Core,Cambridge University Press,$216.00 
Transactions of the American Mathematical Society,Math,Mathematics--Periodicals   Mathe?matiques--Pe?riodiques   Mathematics  and others,0002-9947,1088-6850,AMS Website,American Mathematical Society,$53.96 
Viator,History,"Civilization, Medieval--Periodicals   Renaissance--Periodicals ",0083-5897,2031-0234,Brepols Publishers NV,Brepols Publishers,$58.12 
Weatherwise,Meteorology,Meteorology--Periodicals ,0043-1672,1940-1310,Taylor & Francis,Routledge,$41.82 
World Archaeology,Archaeology,Archaeology--Periodicals   Archéologie--Périodiques   Archaeology  and others,0043-8243,1470-1375,Taylor & Francis,Routledge,$59.67 
