CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
COMM432,Communication,,Gender and Communication,"Folwell, Annette L.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,COMM432&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
COMM456,Communication,1,Nonprofit Fundraising,"Carter, Diane L.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,COMM456&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
COMMON READ 2019,Common Read,,Common Read Program,,,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,common%20read%202019&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
DAN100,Dance,1,Dance in Society,"Meenan, Melanie Joy",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,dan100&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
DAN360,Dance,1,Teaching Creative Dance for Children,"Meenan, Melanie Joy",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,dan360&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
DAN416,Dance,1,Advanced Ballet,"Meenan, Melanie Joy",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,dan416&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECE210,Electrical Engineering,1,Electric Circuits I,"Frenzel, Karen",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,ece210&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECE212,Electrical Engineering,1,Electric Circuits II,"Frenzel, Karen",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,ece212&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECE240,Electrical Engineering,0,Digital Logic,"Hefeida, Mohamed",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,ece240&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECE310,Electrical Engineering,All,Fundamentals of Electronics,"Ay, Suat Utku",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,ece310&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECON201,Economics,3,Principles of Economics,"Peterson, Steven S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,econ201&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
